,UK,EN,TRANSLATION
971,Я такого від тебе дійсно не очікувала.,I really wasn't expecting that from you.,I really wasn't expecting that from you.
972,Я такого від вас дійсно не очікував.,I really wasn't expecting that from you.,I really didn't expect that from you.
973,Я такого від вас дійсно не очікувала.,I really wasn't expecting that from you.,I really wasn't expecting that from you.
974,Я чекав кілька годин.,I've been waiting for hours.,I've been waiting for hours.
975,Я чекаю вже кілька годин.,I've been waiting for hours.,I've been waiting for hours.
976,Він помер у глибокій старості.,He died at a very old age.,He died in his old age.
977,Він помер у дуже похилому віці.,He died at a very old age.,He died at a very old age.
978,Я його не знаю.,I don't know him.,I don't know him.
979,Мені сподобався цей фільм.,I liked this film.,I liked that movie.
980,Цей фільм мені сподобався.,I liked this film.,I liked this movie.
981,Вона купається в грошах.,She's rolling in money.,She swims in money.
982,Це не важливо.,It's not important.,It doesn't matter.
983,Не важливо.,It's not important.,It doesn't matter.
984,Це неістотно.,It's not important.,That's not important.
985,Це неважливо.,It's not important.,It doesn't matter.
986,Мені байдуже.,I don't care.,I don't care.
987,Мені все одно.,I don't care.,I don't care.
988,Мені пофіг.,I don't care.,I don't care.
989,Мені цілком однаково.,I don't care.,I don't care.
990,Мені однаково.,I don't care.,I don't care.
991,"Люди мають зрозуміти, що світ міняється.",People should understand that the world is changing.,People need to understand that the world is changing.
992,"Слово - срібло, мовчання - золото.","Speech is silver, but silence is golden.","Speech is silver, silence is gold."
993,П'ятдесят два відсотки британських жінок надають перевагу шоколаду перед сексом.,Fifty-two per cent of British women prefer chocolate to sex.,Fifty - two percent of British women prefer chocolate to sex.
994,Я геть не переконаний.,I'm not convinced at all.,I'm not convinced at all.
995,Чому ти хочеш поїхати сьогодні?,Why do you want to leave today?,Why do you want to leave today?
996,Чому ви хочете поїхати сьогодні?,Why do you want to leave today?,Why do you want to leave today?
997,Я візьму машину.,I'm going to take my car.,I'll take the car.
998,"Це занадто добре, щоб бути правдою.",It's too good to be true.,It's too good to be true.
999,"Краще пізно, ніж ніколи.",Better late than never.,Better late than never.
