Unnamed: 0,de,uk,TRANSLATION,bertscore
758,Das kommt mir spanisch vor.,Для мене це китайська грамота.,Für mich ist das eine chinesische Urkunde.,0.8111931681632996
759,Das könnte dich vielleicht interessieren.,Це може тебе зацікавити.,Das mag dich interessieren.,0.9213533997535706
760,Das Konzert fängt gleich an.,Концерт скоро розпочнеться.,Das Konzert beginnt bald.,0.9040533304214478
761,Das Konzert war ein Erfolg.,Концерт мав успіх.,Das Konzert war erfolgreich.,0.9461685419082642
762,Das Land braucht eure Hilfe.,Країні потрібна ваша допомога.,Das Land braucht Ihre Hilfe.,0.9668990969657898
763,Das Land braucht Ihre Hilfe.,Країні потрібна ваша допомога.,Das Land braucht Ihre Hilfe.,0.9999998807907104
764,Das Land erklärte seine Unabhängigkeit am 7. September 1822.,Країна проголосила незалежність сьомого вересня тисяча вісімсот двадцять другого року.,September eintausendachtzigundzwanzig Jahre lang Unabhängigkeit erklärten.,0.8633619546890259
765,Das Laub des Baumes wurde gelb.,Листя на дереві пожовтіло.,Das Blatt am Baum war verblüfft.,0.8355795741081238
766,Das Leben geht weiter.,Життя триває.,Das Leben geht weiter.,1.000000238418579
767,Das Leben ist gut.,Життя добре.,Das Leben ist gut.,1.0
768,Das Leben ist interessant.,Життя цікаве.,Das Leben ist interessant.,1.0000001192092896
769,Das Leben ist nicht gerecht.,Життя несправедливе.,Das Leben ist ungerecht.,0.9058782458305359
770,"Das Leben ist nicht lang, es ist breit!","Життя не довге, воно широке!","Das Leben ist nicht lang, es ist breit.",1.0
771,Das Leben ist schwer.,Життя важке.,Das Leben ist hart.,0.9181336760520935
772,Das Leben ist sehr kurz.,Життя дуже коротке.,Das Leben ist sehr kurz.,0.9999999403953552
773,Das Leben ist voller Abenteuer.,Життя є повне пригод.,Das Leben ist ein voller Abenteuer.,0.9905242919921875
774,"Das Leben ist zu kurz, um Deutsch zu lernen.","Життя занадто коротке, щоб вивчати німецьку.","Das Leben ist zu kurz, um Deutsch zu lernen.",1.0
775,"Das Leben ist zu kurz, um Deutsch zu lernen.","Життя занадто коротке, щоб вивчити німецьку.","Das Leben ist zu kurz, um Deutsch zu lernen.",1.0
776,Das Lesen von Romanen ist mein Hobby.,Моє хобі - читання романів.,Mein Hobby ist das Lesen von Romanen.,0.9596153497695923
777,Das Licht ist aus.,Світло вимкнене.,Das Licht ist aus.,1.0
778,Das Licht ist aus.,Світло не горить.,Das Licht brennt nicht.,0.896528959274292
779,Das machst du doch mit Absicht!,Ти робиш це навмисно!,Du tust es absichtlich!,0.8720677495002747
780,Das macht mir keine Sorgen.,Я про це не турбуюся.,Ich mache mir darüber keine Sorgen.,0.9429488182067871
781,Das macht neugierig.,Це цікаво.,Das ist interessant.,0.7814069986343384
782,"Das Mädchen ging zur Schule, obwohl sie krank war.","Дівчинка пішла до школи, незважаючи на хворобу.","Obwohl sie krank war, ging sie zur Schule.",0.9484474658966064
783,Das Mädchen half dem Jungen.,Дівчина допомогла хлопцю.,Sie half dem Jungen.,0.919575572013855
784,Das Mädchen hat dem Jungen geholfen.,Дівчина допомогла хлопцю.,Sie half dem Jungen.,0.8656768798828125
785,Das Mädchen hat dem Jungen geholfen.,Дівчина допомогла хлочику.,Sie half dem Hölzchen.,0.8349637389183044
786,Das Mädchen hatte Angst vor ihrem eigenen Schatten.,Дівчинка боялася власної тіні.,Das Mädchen hatte Angst vor seinem Schatten.,0.9681116342544556
787,Das Mädchen ist einsam.,Дівчина самотня.,Das Mädchen ist einsam.,1.0
788,Das Mädchen ist hübsch.,Дівчина гарна.,Das Mädchen ist wunderschön.,0.9167845845222473
789,Das Mädchen ist klein für sein Alter.,Дівчинка мала для свого віку.,Das Mädchen war für sein Alter da.,0.9371605515480042
790,Das Mädchen ist schön.,Дівчина гарна.,Das Mädchen ist wunderschön.,0.9164940118789673
791,Das Mädchen singt und tanzt und dann lächelt es mich an.,"Дівчинка співає й танцює, а потім посміхається мені.",Das Mädchen singt und tanzt und lächelt dann zu mir.,0.9741331934928894
792,Das Mädchen singt und tanzt und dann lacht es mich an.,"Дівчинка співає й танцює, а потім посміхається мені.",Das Mädchen singt und tanzt und lächelt dann zu mir.,0.9624232649803162
793,Das Mädchen wusch sich die Haare.,Дівчина помила волосся.,Sie hat sich die Haare gewaschen.,0.9029868245124817
794,Das menschliche Gehirn wiegt ungefähr drei Pfund.,Мозок людини важить близько трьох фунтів.,Das menschliche Gehirn wiegt etwa drei Pfund.,0.9683513045310974
795,Das möchte ich mit eigenen Augen sehen.,Я хочу побачити це на власні очі.,Ich möchte es mit eigenen Augen sehen.,0.9824738502502441
796,Das Murmeltier ist unsterblich.,Байбак безсмертний.,Der Bastard ist unsterblich.,0.9165975451469421
797,Das Museum ist nun geschlossen.,Музей зараз закритий.,Das Museum ist jetzt geschlossen.,0.9572717547416687
798,Das müsst ihr entscheiden.,Вам вирішувати.,Die Entscheidung liegt bei Ihnen.,0.8966339826583862
799,Das nächste Jahr wird schlimmer.,Наступний рік буде гіршим.,Das nächste Jahr wird schlimmer.,1.0
800,Das nächste Mal werde ich es selbst machen.,Наступного разу я зроблю його сам.,Das nächste Mal mache ich es alleine.,0.9322933554649353
801,Das nächste Mal werden meine Kommentare auf Russisch sein.,Наступного разу мої коментарі будуть російською.,Das nächste Mal werden meine Kommentare russischer sein.,0.9791340827941895
802,Das Nashorn ist sehr groß.,Носоріг дуже великий.,Nashorn ist sehr groß.,0.9836089611053467
803,Das neue System hat sich als erfolgreich erwiesen.,Нова система виявилась успішною.,Ein neues System hat sich als erfolgreich erwiesen.,0.9855072498321533
804,Das Paar ist gestorben.,Пара померла.,Das Paar starb.,0.8565493822097778
805,Das Papier wurde in China erfunden.,Папір було винайдено в Китаї.,Papier wurde in China erfunden.,0.9765146374702454
806,Das passiert ab und an.,Таке іноді трапляється.,Das passiert manchmal.,0.903472900390625
807,Das passiert vielleicht nicht.,Цього може не трапитися.,Das kann nicht passieren.,0.897204577922821
808,"Das Passwort ist ""Muiriel"".","Пароль - ""Muiriel"".","Das Passwort ist ""Muiriel"".",1.0000001192092896
809,Das Pferd hat Durst.,Кінь хоче пити.,Das Pferd will trinken.,0.9195531606674194
810,Das Prinzip „Auge um Auge“ macht die ganze Welt blind.,Око за око - і весь світ стане сліпим.,"Auge um Auge, und die ganze Welt wird blind.",0.9158374667167664
811,"Das Problem ist, dass Sonnenenergie zu teuer ist.","Проблема в тому, що сонячна енергія занадто дорога.","Das Problem ist, dass Sonnenenergie zu teuer ist.",1.0000001192092896
812,Das Radio ist ausgeschaltet.,Радіо вимкнене.,Der Radio ist abgeschaltet.,0.9604911804199219
813,Das Radio ist defekt.,Радіо зламалося.,Das Radio ist kaputt.,0.9019776582717896
814,Das Radio ist kaputt.,Радіо зламалося.,Das Radio ist kaputt.,1.0000001192092896
815,Das riecht aber seltsam.,Але це дивно пахне.,Aber es riecht komisch.,0.9023378491401672
816,Das Rindfleisch ist zart.,Ця яловичина ніжна.,Dieses Rindfleisch ist zart.,0.9658661484718323
817,Das sagt man nicht mehr.,Так уже не кажуть.,Das wird nicht mehr gesagt.,0.9286769032478333
818,Das scheinen keine Amerikaner zu sein.,"Вони, здається, не американці.",Sie scheinen nicht Amerikaner zu sein.,0.9542441964149475
819,"Das scheint dir gerecht zu sein, oder?","Тобі здається, що це справедливо, так?","Du denkst, das ist fair, oder?",0.8845170736312866
820,Das Schicksal kannst du nicht überlisten.,Долю не обдуриш.,Ich kann dich nicht täuschen.,0.8510216474533081
821,Das Schiff ist jetzt im Hafen.,Корабель зараз у порту.,Das Schiff ist jetzt im Hafen.,1.0
822,Das Schiff transportiert Rohstoffe aus Indonesien.,Корабель перевозить сировину з Індонезії.,Ein Schiff bringt Rohstoffe aus Indonesien,0.9621881246566772
823,Das Schlimmste ist überstanden.,Найгірше вже позаду.,Das Schlimmste ist vorbei.,0.9351608753204346
824,Das Schloss ist schön.,Замок прекрасний.,Der Vorhang ist wunderschön.,0.8193835616111755
825,Das schmeckt gut.,Смачно.,Lecker.,0.6677062511444092
826,Das sind Alkoholiker.,Вони алкоголіки.,Sie sind Alkoholiker.,0.9568133354187012
827,"Das sind die teuersten Schuhe, die ich je gesehen habe.","Це найдорожчі туфлі, які я коли-небудь бачила.","Das sind die teuersten Schuhe, die ich je gesehen habe.",1.0
828,Das sind Dummköpfe.,Вони дурні.,Die sind dumm.,0.9132595658302307
829,Das sind Dummköpfe.,Вони ідіоти.,Sie sind Idioten.,0.8373623490333557
830,Das sind Geschenke für meine Freunde.,Це подарунки для моїх друзів.,Das sind Geschenke für meine Freunde.,1.0000001192092896
831,Das sind Geschenke.,Це подарунки.,Es sind Geschenke.,0.9504997730255127
832,Das sind gute Neuigkeiten.,Це добрі новини.,Das sind gute Nachrichten.,0.9285330772399902
833,Das sind meine Brüder.,Це мої брати.,Das sind meine Brüder.,0.9999998807907104
834,Das sind meine CDs.,Це мої диски.,Das sind meine CDs.,1.0000001192092896
835,Das sind meine Geschwister.,Це мої брати й сестри.,Das sind meine Geschwister.,1.0
836,Das sind meine Sachen.,Це мої речі.,Das sind meine Sachen.,1.0000001192092896
837,Das sind nicht meine Bücher.,Це не мої книги.,Das sind nicht meine Bücher.,0.9999999403953552
838,Das sind Spione.,Вони шпигуни.,Sie sind Spione.,0.9421515464782715
839,Das sind Vegetarier.,Вони вегетаріанці.,Sie sind Vegetarier.,0.9561105370521545
840,Das sind Vögel.,Це птахи.,Das sind Vögel.,1.0000001192092896
841,Das Spiel fängt morgen Nachmittag um zwei an.,Гра розпочинається завтра вдень о другій годині.,Das Spiel beginnt morgen um zwei Uhr.,0.9270874857902527
842,Das stimmt nicht.,Це невірно.,Das ist falsch.,0.8333316445350647
843,Das stimmt!,Правильно!,Richtig!,0.7121683955192566
844,Das stimmt.,Саме так.,Genau.,0.6621143817901611
845,Das stimmt.,Так.,"Ja, das ist es.",0.7864564657211304
846,Das Symbol ' &amp; ' steht für 'und'.,"Символ "" &amp; "" ставиться замість ""і"".","Das Zeichen &amp; ""bezieht sich anstelle von ""und"".",0.8784091472625732
847,Das Symbol '&' steht für 'und'.,"Символ ""&"" означає ""і"".","""&"" bedeutet ""i"".",0.7436016201972961
848,Das Symbol '&' steht für 'und'.,"Символ ""&"" ставиться замість ""і"".","""&"" steht für ""und"".",0.8904712796211243
849,Das Taxi holte zwei Fahrgäste ab.,Таксі підібрало двох пасажирів.,Das Taxi zog zwei Fahrgäste an.,0.9557321667671204
850,Da steht eine Blume auf dem Tisch.,На столі квітка.,Auf dem Tisch ist eine Blume.,0.9300295114517212
851,Das Telefon funktioniert im Moment nicht.,Наразі телефон не працює.,Das Telefon funktioniert derzeit nicht.,0.9596288800239563
852,Das Telefon funktioniert nicht.,Телефон не працює.,Das Telefon funktioniert nicht.,1.0000001192092896
853,Das Telefon ist außer Betrieb.,Телефон не працює.,Das Telefon funktioniert nicht.,0.876255452632904
854,Das Telefon ist rot.,Телефон червоний.,Das Telefon ist rot.,1.000000238418579
855,Das Treffen fand hier statt.,Зустріч була тут.,Ich traf mich hier.,0.8570665121078491
856,Das Treffen fand hier statt.,Зустріч відбувалася тут.,Wir trafen uns hier.,0.8555366396903992
857,Das Treffen ist in zehn Tagen.,Зустріч буде за десять днів.,Wir treffen uns in zehn Tagen.,0.9443779587745667
858,Das tut mir wirklich leid!,Мені дійсно шкода!,Es tut mir wirklich leid!,0.9793745279312134
859,Das Undenkbare ist passiert.,Трапилося щось неймовірне.,Es war unglaublich.,0.8043437600135803
860,Das Undenkbare ist passiert.,Трапилося щось немислиме.,Es passierte etwas Unvorhergesehenes.,0.8481571078300476
861,Das Universum ist grenzenlos.,Всесвіт безмежний.,Das Universum ist unendlich.,0.9153457880020142
862,Das Universum ist unendlich.,Всесвіт безмежний.,Das Universum ist unendlich.,1.0
863,Das Unternehmen war von Anfang an ein Reinfall.,Цей проект з самого початку був помилкою.,Dieses Projekt war von Anfang an ein Fehler.,0.8976461887359619
864,Das Video ist langweilig.,Це відео нудне.,Das Video ist langweilig.,1.0000001192092896
865,Das war deine Entscheidung.,Це був твій вибір.,Das war deine Wahl.,0.9072971940040588
866,Das wäre ein Fehler.,Це було б помилкою.,Das wäre ein Fehler.,1.0
867,Das war ein böser Hase.,Це був злий заєць.,Es war ein böser Hase.,0.9711008071899414
868,Das war eine bescheuerte Idee.,Це була ідіотьска ідея.,Das war eine dumme Idee.,0.9214833378791809
869,Das war eine kluge Entscheidung.,Це було мудре рішення.,Das war eine weise Entscheidung.,0.9539774060249329
870,Das war eine Lüge.,Це була брехня.,Das war eine Lüge.,0.9999999403953552
871,Das war ein Fehler.,Це була помилка.,Das war ein Fehler.,1.0
872,"Das wäre zu cool, wenn ich zehn Sprachen sprechen könnte!","Було б так круто, якби я розмовляв десятьма мовами!","Es wäre so cool, wenn ich in zehn Sprachen sprechen würde!",0.9452295303344727
873,Das war genug.,Цього було достатньо.,Das war genug.,0.9999998807907104
874,Das war gut geschrieben.,Це було добре написано.,Das war gut geschrieben.,1.0000001192092896
875,Das war immer so.,Так було завжди.,Das war schon immer so.,0.9667969942092896
876,Das war immer so.,Так завжди було.,Das war schon immer so.,0.9667969942092896
877,Das war kein Fehler.,Це не було помилкою.,Das war kein Fehler.,1.0000001192092896
878,Das war nicht meine Idee.,Це була не моя ідея.,Das war nicht meine Idee.,0.9999998807907104
879,Das war sicher nicht mit Absicht.,"Я впевнена, що це було ненавмисно.","Ich bin sicher, es war unabsichtlich.",0.9009149074554443
880,Das war sicher nicht mit Absicht.,"Я певен, що це було ненавмисно.","Ich bin sicher, das war unabsichtlich.",0.9098972678184509
881,Das war unser Geheimnis.,Це був наш секрет.,Das war unser Geheimnis.,0.9999999403953552
882,Das war unvermeidlich.,Це було неминуче.,Das war unvermeidlich.,0.9999999403953552
883,Das Wasser im Brunnen war eisig.,Вода в криниці була крижана.,Es war eiskalt im Brunnen.,0.8884606957435608
884,Das Wasser im Brunnen war eiskalt.,Вода в криниці була крижана.,Es war eiskalt im Brunnen.,0.9339134097099304
885,Das Wasser ist gut.,Вода добра.,Wasser ist gut.,0.971061110496521
886,Das Wasser ist herrlich!,Вода чудова!,Das Wasser ist großartig!,0.9163113832473755
887,Das Wasser ist nicht kalt.,Вода не холодна.,Das Wasser ist nicht kalt.,0.9999999403953552
888,Das Wasser ist nicht trinkbar.,Ця вода непридатна для пиття.,Dieses Wasser ist nicht zum Trinken geeignet.,0.9172788858413696
889,Das Wasser ist sauber.,Вода чиста.,Das Wasser ist rein.,0.9408484101295471
890,Das Wasser ist warm.,Вода тепла.,Das Wasser ist warm.,0.9999998807907104
891,Das Wasser schmeckt gut.,Вода добре смакує.,Wasser schmeckt gut.,0.9756519794464111
892,Das Wasser war blau.,Вода була блакитна.,Das Wasser war blau.,0.9999998807907104
893,Das weiß ich bereits.,Я вже це знаю.,Das weiß ich schon.,0.9137946367263794
894,Das weiß ich nicht.,Я цього не знаю.,Das weiß ich nicht.,1.0
895,Das weiß ich schon.,Я вже знаю.,Ich weiß es schon.,0.9656816124916077
896,Das weiß ich schon.,Я вже це знаю.,Das weiß ich schon.,1.0
897,Das weißt du doch.,Ти вже це знаєш.,Das weißt du schon.,0.957368016242981
898,Das weißt du ja.,Ти вже це знаєш.,Das weißt du schon.,0.9382745027542114
899,Das Wetter ist heute wunderbar.,Погода сьогодні чудова.,Heute ist das Wetter wunderbar.,0.9726859927177429
900,Das Wetter war windstill.,Погода була безвітряна.,Die Wetterlage war hoffnungslos.,0.8552225828170776
901,Das wird dreißig Euro kosten.,Це коштуватиме 30 євро.,Das würde 30 Euro kosten.,0.8780951499938965
902,Das wird einfach.,Це буде легко.,Das wäre leicht.,0.8635336756706238
903,Das wird komisch sein.,Це буде весело.,Das wird lustig.,0.9047008156776428
904,Das wird leicht sein.,Це буде легко.,Das wäre leicht.,0.8993791937828064
905,Das wird lustig sein.,Це буде весело.,Das wird lustig.,0.9663604497909546
906,Das wird mein letzter Satz in Englisch sein.,Це буде моє останнє речення англійською.,Das ist mein letzter Satz auf Englisch.,0.9483923316001892
907,Das wird nicht allzu schwierig sein.,Це буде не так вже й складно.,Es wird nicht so schwierig sein.,0.959571897983551
908,Das wird nicht funktionieren.,Це не спрацює.,Das wird nicht funktionieren.,1.0
909,Das wird nicht klappen.,Це не спрацює.,Das wird nicht funktionieren.,0.9086468815803528
910,Das wird nicht noch einmal passieren.,Цього більше не трапиться.,Das wird nicht mehr passieren.,0.9592573642730713
911,Das wird nicht passieren.,Це не станеться.,Das wird nicht passieren.,1.0
912,Das wird sich ereignen.,Це трапиться.,Das wird geschehen.,0.903378427028656
913,Das wird Tom nicht gefallen.,Тому це не сподобається.,Das würde es also nicht gefallen.,0.9503858685493469
914,Das wisst ihr doch.,Ви вже це знаєте.,Das wissen Sie bereits.,0.8651560544967651
915,Das wisst ihr ja.,Ви вже це знаєте.,Das wissen Sie bereits.,0.8677672743797302
916,Das wollte ich nicht.,Я не хотів цього.,Das wollte ich nicht.,1.0000001192092896
917,Das Wörterbuch enthält ungefähr eine halbe Million Wörter.,У цьому словнику приблизно півмільйона слів.,Es gibt ungefähr eine halbe Million Wörter in diesem Wörterbuch.,0.9340131878852844
918,Das Wörterbuch hier gehört mir.,Цей словник мій.,Das ist mein Wörterbuch.,0.8951752185821533
919,Das Wort wird nicht mehr benutzt.,Це слово більше не використовується.,Dieses Wort wird nicht mehr verwendet.,0.9347185492515564
920,Das wusste ich nicht.,Я цього не знала.,Das wusste ich nicht.,1.0
921,Das Zimmer hat zwei Fenster.,Ця кімната має два вікна.,Dieser Raum hat zwei Fenster.,0.9032189249992371
922,Das Zimmer ist leer.,Кімната пуста.,Das Zimmer ist leer.,0.9999998807907104
923,Das Zimmer war abgeschlossen.,Кімната була замкнена.,Das Zimmer war verschlossen.,0.9631277322769165
924,Das Zimmer wird morgen angestrichen.,Кімнату завтра пофарбують.,Morgen wird das Zimmer gestrichen.,0.9575898051261902
925,Das Zusehen schmerzte.,На це було боляче дивитися.,"Es tat weh, das zu sehen.",0.8495408892631531
926,Das zweite Semester hat geendet.,Закінчився другий семестр.,Das zweite Semester ist vorbei.,0.9208347201347351
927,David ist zu Hause.,Давид вдома.,David ist zu Hause.,0.9999998807907104
928,Davon könnt ihr nur träumen.,Вам про це тільки мріяти.,Das ist nur ein Traum.,0.8673459887504578
929,Da war niemand im Garten.,У саду нікого не було.,Niemand war im Garten.,0.9545919299125671
930,Dazu bin ich zu alt.,Я для цього занадто стара.,Ich bin zu alt dafür.,0.9075333476066589
931,"Dein Bruder hat geheiratet, oder?","Твій брат одружився, чи не так?","Dein Bruder hat geheiratet, nicht wahr?",0.9708336591720581
932,Deine Antwort ist falsch.,Твоя відповідь невірна.,Deine Antwort ist falsch.,1.0
933,Deine Frisur gefällt mir nicht.,Мені не подобається твоя зачіска.,Ich mag deine Frisur nicht.,0.9398823380470276
934,Deine Haare sind nicht einmal nass.,Твоє волосся навіть не мокре.,Dein Haar ist auch nicht nass.,0.9255733489990234
935,Deine Haare sind zu lang.,Твоє волосся задовге.,Dein Haar ist zu lang.,0.9395731687545776
936,Deine Ideen sind ziemlich altmodisch.,Твої ідеї досить старомодні.,Deine Ideen sind ziemlich altmodisch.,1.0
937,Deine Krawatte sitzt schief.,У тебе перекосилася краватка.,Du hast eine Krawatte zugeknöpft.,0.8631517291069031
938,Deine Mannschaft ist stärker als unsere.,Твоя команда сильніша від нашої.,Dein Team ist stärker als unser Team.,0.9132218360900879
939,Deine Mannschaft ist stärker als unsere.,"Твоя команда сильніша, ніж наша.",Dein Team ist stärker als unser Team.,0.9132218360900879
940,Deine Meinung interessiert mich nicht.,Мене не цікавить ваша думка.,Ihre Meinung interessiert mich nicht.,0.9780834913253784
941,Deine Meinung ist sehr konstruktiv.,Твоя думка дуже конструктивна.,Du hast eine sehr konstruktive Idee.,0.910535454750061
942,Deine Mutter ist ein Computer.,Твоя мати - комп'ютер.,Deine Mutter ist ein Computer.,1.0
943,Deine Mutter wird mich umbringen.,Твоя мама мене вб'є.,Deine Mutter wird mich umbringen.,1.0
944,Dein Englisch ist perfekt.,У тебе досконала англійська.,Du hast perfektes Englisch.,0.9042790532112122
945,Dein Erfolg ist das Ergebnis deiner harten Arbeit.,Твій успіх - результат твоєї важкої праці.,Dein Erfolg ist das Ergebnis deiner harten Arbeit.,0.9999998807907104
946,Dein Französisch ist perfekt.,У тебе досконала французька.,Du hast perfekte Französisch.,0.9093140959739685
947,Dein Französisch ist schon viel besser geworden.,Твоя французька стала набагато краща.,Dein Französisch ist viel besser geworden.,0.9852253794670105
948,Dein Freund ist hier.,Твій друг тут.,Dein Freund ist hier.,1.0
949,Dein Führerschein ist abgelaufen.,Твої водійські права прострочені.,Ihre Führerscheine sind überfällig.,0.8815385103225708
950,Dein Geld brauch ich nicht. Ich brauche deine Zeit.,Мені не потрібні твої гроші. Мені потрібен твій час.,Ich brauche dein Geld nicht.,0.9481133818626404
951,Dein Haus ist fantastisch.,Твій будинок просто фантастичний.,Dein Haus ist fantastisch.,1.0
952,Dein Haus muss repariert werden.,Твій будинок потребує ремонту.,Dein Haus muss repariert werden.,0.9999998211860657
953,Dein Hund biss mich in die Hand.,Твій собака вкусив мене за руку.,Dein Hund hat mich am Arm gebissen.,0.9229649901390076
954,Dein Hund hat mich in die Hand gebissen.,Твій собака вкусив мене за руку.,Dein Hund hat mich am Arm gebissen.,0.9694831371307373
955,Dein Kleid gefällt mir.,Мені подобається твоя сукня.,Ich mag dein Kleid.,0.907357931137085
956,Dein Kleid ist schon nicht mehr in Mode.,Твоє плаття вже вийшло з моди.,Dein Kleid ist aus der Mode gekommen.,0.904586911201477
957,Dein Reißverschluss ist offen.,У тебе розстебнута ширінька!,Du hast ein gespicktes Gemäuer!,0.8192334771156311
958,Dein Vorschlag gefällt mir.,Мені подобається твоя пропозиція.,Ich mag dein Angebot.,0.8393296599388123
959,Dein Wort in Gottes Ohr!,Твої б слова та богу в вуха!,Deine Worte und Worte wären mir zu Ohren gekommen.,0.887828528881073
960,Delfine und Wale sind keine Fische.,Детьфіни та кити не риби.,Delphine und Wale sind keine Fische.,0.9823847413063049
961,"Dem nach zu urteilen, was sie sagt, ist er schuldig.","Судячи з того, що вона каже, він винний.","Er ist für das, was sie sagt, verantwortlich.",0.8885334134101868
962,Den Apfel habe ich gegessen.,Я з'їв яблуко.,Ich aß den Apfel.,0.8942279815673828
963,Den Film will ich noch einmal sehen.,Я хочу подивитися цей фільм ще раз.,Ich will den Film noch einmal sehen.,0.9805839657783508
964,Denke an deine Zukunft!,Подумай про своє майбутнє.,Denk an deine Zukunft.,0.9854547381401062
965,"Denke daran, dass du Staub bist.","Пам’ятай, що ти порох.","Vergiß nicht, daß du Staub bist.",0.8885186314582825
966,Denke darüber nach.,Поміркуй над цим.,Denken wir einmal darüber nach.,0.9332807660102844
967,"Denken Sie, Tom ist betrunken?","Гадаєте, Том п'яний?","Glauben Sie, Tom ist betrunken?",0.9577991366386414
968,Denke über deine Zukunft nach!,Подумай про своє майбутнє.,Denk an deine Zukunft.,0.9310100674629211
969,Denk mal drüber nach.,"Подумай про це, будь ласка.","Denken Sie darüber nach, bitte.",0.8721649646759033
970,Denkst du auf Französisch?,Ти думаєш французькою?,Findest du Französisch?,0.8892591595649719
971,"Denkst du, dass ich meine Zeit vertue?","Гадаєш, я марную свій час?","Glaubst du, ich verschwende meine Zeit?",0.9219182133674622
972,"Denkst du, Tom ist betrunken?","Гадаєш, Том п'яний?","Glaubst du, Tom ist betrunken?",0.9479222893714905
973,"Denkt ihr, Tom ist betrunken?","Гадаєте, Том п'яний?","Glauben Sie, Tom ist betrunken?",0.9324117302894592
974,Den Studenten gefällt es.,Студентам він подобається.,Den Studenten gefällt er.,0.9816436767578125
975,Den Tapferen hilft das Glück.,Доля посміхається сміливим.,Das Schicksal lächelt mutig.,0.8298915028572083
976,Der Affe fiel vom Baum.,Мавпа упала з дерева.,Der Affe ist vom Baum gefallen.,0.9276089072227478
977,Der alte Hund bellte.,Старий пес загавкав.,Der alte Hund ist eingebrochen.,0.9071029424667358
978,Der alte Mann gab ihr eine kleine Puppe.,Цей дідусь подарував їй маленьку ляльку.,Er schenkte ihr eine kleine Puppe.,0.9301497340202332
979,Der Alte schenkte ihr eine kleine Puppe.,Цей дідусь подарував їй маленьку ляльку.,Er schenkte ihr eine kleine Puppe.,0.9789497256278992
980,Der Anfang der Geschichte ist interessant.,Початок розповіді цікавий.,Der Beginn der Geschichte ist interessant.,0.9489451050758362
981,Der Antisemitismus ist der Sozialismus der dummen Kerle.,Антисемитизм - це соціалізм для дурнів.,Antisemitismus ist der Sozialismus der Narren.,0.9516411423683167
982,Der Apfel fiel vom Baum.,Яблуко впало з дерева.,Ein Apfel fiel vom Baum.,0.9809907674789429
983,Der Apfel ist gelb.,Це яблуко жовте.,Das ist ein gelber Apfel.,0.9294045567512512
984,Der Apfel ist gelb.,Яблуко жовте.,Der Apfel ist gelb.,1.0
985,Der Apfel ist noch nicht reif.,Яблуко ще не стигле.,Der Apfel ist noch nicht reif.,1.0
986,Der Apfel ist vom Baum gefallen.,Яблуко впало з дерева.,Ein Apfel fiel vom Baum.,0.9219289422035217
987,Der Architekt adaptierte das Haus an die Bedürfnisse alter Menschen.,Архітектор пристосував будинок під потреби похилих людей.,Der Architekt installierte ein Gebäude für die Älteren.,0.8932855725288391
988,"Der Arzt riet ihm ihm, mit dem Rauchen aufzuhören.",Лікар порадив йому кинути палити.,"Der Arzt riet ihm, das Rauchen aufzugeben.",0.9590603113174438
989,Der Aufzug funktioniert heute nicht.,Ліфт сьогодні не працює.,Der Lift läuft heute nicht mehr.,0.896291196346283
990,Der Ausländer konnte überhaupt kein Japanisch.,Іноземець взагалі не знав японської.,Die Japaner kannten ihn überhaupt nicht.,0.8867886662483215
991,Der Autor hat einen schönen Stil.,У автора гарний стиль.,Der Autor hat einen guten Stil.,0.9624821543693542
992,Der Bahnhof ist ganz in der Nähe des Hotels.,Станція знаходиться біля готелю.,Die Station befindet sich in der Nähe des Hotels.,0.9044278860092163
993,Der Bär frisst einen Apfel.,Ведмідь їсть яблуко.,Der Bär ißt einen Apfel.,0.9661065936088562
994,Der Bär hat einen kurzen Schwanz.,У ведмедя короткий хвіст.,Der Bär hat einen kurzen Schwanz.,1.000000238418579
995,Der Baum ist grün.,Дерево зелене.,Ein grüner Baum.,0.8904615640640259
996,Der Beamer funktioniert nicht.,Проектор не працює.,Der Projektor funktioniert nicht.,0.9314588308334351
997,Der Beamer geht nicht.,Проектор не працює.,Der Projektor funktioniert nicht.,0.8656919598579407
998,Der Berg ist mit Schnee bedeckt.,Гора вкрита снігом.,Der Berg ist mit Schnee bedeckt.,1.0000001192092896
999,Der Bleistift ist schwarz.,Олівець чорний.,Der Bleistift ist schwarz.,1.0
