,EN,UK,TRANSLATION
768,Big deal... 'cause they cure cancer in rats... that doesn't mean they dont blow shit up!,"Велика біда. Тільки тому, що вони лікують рак... на мишах, не значить, що вони не підірвуть нас.","Велика справа... тому що вони лікують рак щурами... це не означає, що вони не підривають лайно!"
769,Beyond the kid and the need for money...,У неї дитина і грошенят не вистачає...,Крім дитини і потреби в грошах...
770,We can't take or sell anything.,"Ми нічого не зможемо, ані забрати, ані продати.","Ми не можемо ні брати, ні продавати."
771,Nai.,Най.,Ні.
772,– Several sensors show it.,– Декілька сенсорів це показують.,"Це видно з того, що ми бачимо по п'ятах."
773,- Isn't it?,- Да?,- Правда?
774,Enhanced Browsing Plugin,Додаток розширеної навігаціїName,Додаток розширеної навігаціїName
775,There's a camper there.,Там стоїть автокараван.,Там лагерь.
776,Remember Brooks Hatlen?,- Пам'ятаєш Брукса Хетліна?,Пам'ятаєш Брукса Хатлена?
777,Add Equalizer Preset,Додати конфігурацію еквалайзера,Додати шаблон еквалайзера
778,I wanted you to see it before we start hacking it to bits.,"Я хотів, щоб ви це побачили, перш ніж ми почнемо видобуток.","Я хотів, щоб ви побачили це, перш ніж ми почнемо розбивати його на шматки."
779,Reverts the last change that was made to the contact list by Edit Undo,"Скасовує останню зміну, яку було внесено до списку контактів дією Правка Вернути","Скасовує останню зміну, яку було внесено до списку контактів за допомогою пункту меню Правка Вернути"
780,What the [bleep] is that?,Шо це за фігня?,Що це за фігня?
781,Let me just take a look... McMURPHY:,"- Дозвольте, тільки погляну...",Я просто гляну...
782,Get the ball.,Візьми м'ячик.,Візьми м'яч.
783,"Guys,",Друзі.,"Ребята,"
784,The guy's got a cannon.,У парня пистолет.,У парня пистолет.
785,Sorry. I am not able to export this puzzle type (yet),Вибачте. Ще не вмію експортувати головоломки цього типу.,Вибачте. Я не можу експортувати цей тип складанки (ще)
786,Are you sure you wish to convert the selected image(s) to black and white? This operation cannot be undone.,Ви справді бажаєте перетворити обрані зображення у чорно- білі? Результат цієї операції незворотний.,Ви справді бажаєте перетворити вибране зображення на чорно- біле? Цю дію не можна скасувати.
787,Send and Receive Facsimiles,Відправлення та отримання факсів,Відіслати і отримати зображення
788,I'm not...,І не...,Я не...
789,View Split View,Перегляд Розділити перегляд,Перегляд Розділити перегляд
790,Stop trying to fuck with my head.,Й годі мені баки забивати.,Не пытайся трахнуть мою голову.
791,Browse through the filesystem,Перегляд файлової системи,Перегляд файлової системи
792,Throw him out!,Викинь його!,Викинь його!
793,Who was that guy in The Lighthouse?,Що це був за хлопець в Lighthouse?,Хто той хлопець у Lighthouse?
794,"Well, he got up to stage four after drinking that brake fluid.","Виглядає, що, після того, як хильнув гальмової рідини, перейшов у 4 стадію.","Ну, он встал на четвертую стадию после того, как выпил эту жидкость для гальма."
795,"For the honor of my home, I fought and killed under a king I loathed.","За честь мого дому, я бився та вбивав під королем, до якого відчував відразу.","За честь мого дому я бився і вбивав під королем, якого ненавидів."
796,"- Well, yes, but...","- Ну, ніби так, але...","- Ну, так, але..."
797,"That was 15 years ago, Ollie.","Це ж було 15 років тому, Олі.","Це було 15 років тому, Оллі."
798,"If anything's wrong, anything at all, we leave.","І якщо щось не так, хоч що-небудь - ми йдемо.","Если что-то не так, то мы уходим."
799,Geometry Properties,Геометричні властивості,Властивості геометрії
800,I got it.,Я візьму.,Я понял.
801,He casts his ulti as well.,Він застосовує ульт.,Він також кидає ульт.
802,You playing me?,Ти зі мною граєшся?,Ти зі мною граєш?
803,Hold the line!,Тримати лінію!,Тримати лінію!
804,I had fun talking to you on stage.,Приємно було з тобою на сцені виступати.,Мені було весело поговорити з тобою на сцені.
805,Can I just catch my breath for a second?,Можна мені хоч подих перевести?,Можна мені на секунду подих передихнути?
806,Open an existing document.,Відкриває існуючий документ.,Відкрити існуючий документ.
807,"Make them pay for their misdeeds, in tears and death !",Відплатити за все горе! За сльози та смерть!,"Вимагайте, щоб вони заплатили за свої злочини, у сльозах і смерті!"
808,"You didn't tell him about us, did you?",Адже ти не говорив йому про нас?,Ти ж не розповів йому про нас?
809,"When Searle and Harvey died, we lost two breathers.","Серл і Харві, загинувши, не споживають кисень.","Когда Серл и Харви умерли, мы потеряли два вдохновления."
810,- You think you can take on Budzo?,- Сподіваєшся перемогти Будзо?,"- Думаєш, ти зможеш взяти на себе Будзо?"
811,Why don't you kiss my ass?,﻿Чому б тобі не прогулятися?,Почему бы тебе не поцеловать мою задницу?
812,"Came in their own G5, just like Oprah has.","Приїхали на своїх власних G5, прямо як в Опри.","Прибыли в их же G5, как и Опра."
813,Why bother?,А навіщо?,Навіщо?
814,_,Ти зрозуміла?,Я не знаю.
815,I'm here voluntarily.,Я тут добровільно.,Я тут добровільно.
816,He's here.,Він тут!,Він тут.
817,Enjoy your stay at the Bank.,"Я сповіщу вас, якщо щось звільниться. - Приємного відпочинку в ""Бенк"".",Насолоджуйтесь перебуванням у банку.
818,"They looked so in the future our time, when the sun rose on the playing field.","Виникає питання: Як Майя, Нострадамус, як всі вони мали ту саму уяву?","Вони дивилися так у майбутнє, в наш час, коли сонце сходить на ігровому полі."
819,"Well, what the heck would you do with a set of tiny little genitals?","Ну, і що ти робитимеш із тією крихітнию штучкою, до того ж м'якою?",А що б ти зробив з крихітними геніталіями?
820,It's available.,Він зараз вільний.,Воно доступне.
821,I'm overbearing and rude.,"Стій, стій, стій! Зупинися! Не треба про це розповідати!",Я зухвалий і грубий.
822,You see that one wonders why You spent three weeks on a figure it out?,"Ти розумієш, що всі будуть питати, чого це тобі знадобилось три тижні, аби це визнати?","Ты видишь, что удивительно, почему ты потратила три недели на то, чтобы разобраться?"
823,"- Well, I'll write to David, of course I will.","- Звичайно, я напишу до Дейвіда.","- Ну, я напишу Дэвиду, разумеется."
824,"Only, she shoots him a second time !",А вона його знову підстрелила!,Тільки вона вдруге його вистрелила!
825,Protect your mother.,Захищай матір.,Защити свою мать.
826,Why is he here?,Навіщо він тут?,Чому він тут?
827,- Of course.,- Звичайно.,- Звичайно.
828,"It would be another important factor showing us that we live in a world of wonderful order, and that is highly suggestive that that is because it is a creation with a divine mind behind it.","Це був би ще один важливий фактор того, що ми живемо у світі дивовижного порядку, і що, цілком можливо, причина цього в тому, що це створіння, кероване божественним розумом.","Це був би ще один важливий фактор, який показує нам, що ми живемо у світі дивовижного порядку, і це дуже примарно, тому що це є створіння з божественним розумом, що стоїть за ним."
829,Using %1 %2 - Copyright (C) %3,Використовується% 1% 2 - ©% 3,Використовується% 1% 2 - Авторські права (C)% 3
830,The game tells you a division and you have to guess its capital,Гра з вгадування за територією на карті столиці цієї території,Гра повідомляє вам про території і вам слід вгадати її столицю
831,So they want to get something back.,І вони хочуть отримати з цього дещо.,"Отже, вони хочуть щось повернути."
832,But this... is the brain.,А це - його мозок.,Але це... мозок.
833,Full name,Повне ім’ я,Повне ім' я
834,- No one care what you or I think.,"- Ніхто не переймається тим, що ти думаєш.","- Всім байдуже, що ви думаєте."
835,Please tell me you didn't let him eat a lot of crap.,"будьласка не кажи мені, що ти дозволив йому їсти багато лайна.","Будь ласка, скажи мені, що ти не дозволив йому їсти багато лайна."
836,Use KPilot's Global Settings,Використовувати загальні параметри KPilot,Використовувати загальні параметри KPilot
837,"Honestly, you're all dumber than I thought if you think we should go back there.","Та ви тупіше, ніж я думала, якщо вважаєте, що треба повернутися.","Честно говоря, ты все дурепа, чем я думал, если ты думаешь, что нам стоит вернуться туда."
838,It's fall now.,Зараз осінь.,Зараз осінь.
839,Let me try,Дай спробую.,Дай спробую.
840,The Image Menu,Меню « Зображення »,Меню Зображення
841,"Right, well, I suppose I should go see what they're selling.","Правда, ну, я гадаю мені варто піти глянути, що вони продають.","Добре, що ж, гадаю, мені слід піти подивитися, що вони продають."
842,Grown up... as I hoped you would when I sent the message to your father.,"Tи подорослішав, і я сподівався на це, коли відправив послання твоєму батькові.","Виріс... як я сподівався, коли я відіслав повідомлення твоєму батькові."
843,It's been in our family for 500 years.,Він у нашій родині п'ять століть.,Він у нашій сім'ї вже 500 років.
844,Maybe it's ransom.,"Може, викрадення?","Може, це викуп."
845,Manual control.,"Забороняю, Ікаре.",Ручне керування.
846,I'll not sit here and swallow insults from a boy so green he pisses grass.,Я не буду сидіти тут і терпіти образи від зеленого молодика.,"Я не сидітиму тут і не сприйматиму образ від такого зеленого хлопця, як він мочить траву."
847,I think we can just put her on stage. That's what I'm saying!,Я могу.,"Думаю, ми можемо просто поставити її на сцену."
848,Obviously not.,- Ні звичайно.,"Очевидно, що ні."
849,& Resize...,& Змінити розмір...,& Змінити розмір...
850,I had one of my children's books FedEx'd from L.A.,Мені прислали з Лос-Анджелеса коректуру моєї дитячої книги.,У мене була одна з дитячих книжок FedEx з Лос-Анджелеса.
851,A confession?,Сповідь?,Сповідь?
852,You just don't want to face Kripke.,Ти просто не хочеш зустрічатися з Кріпке.,Ти просто не хочеш зустрітися з Кріпкі.
853,"No, she always looks like that.",вона завжди так виглядає.,"Нет, она всегда так выглядит."
854,- Hello.,Привіт.,- Привіт.
855,"- Let me go! Come on, guys.",- Відпустіть мене!,- Отпустите меня!
856,Edit User Tags,Редагувати визначені користувачем мітки,Змінити теґи користувача
857,"Ooh, I love margaritas!","оуу, я люблю маргариту!","О, я люблю маргарити!"
858,So what are they doing to further our interests?,І що ж вони роблять для просування наших інтересів?,"То що ж вони роблять, щоб сприяти нашим інтересам?"
859,Objects in the Sky,Небесні об’ єкти,Небесні об' єкти
860,"Well, Bob, I have heard that.","Так, Боб, я чув про це.","Ну, Боб, я чув це."
861,I'm in love.,Мені сподобалося.,Я закоханий.
862,Take the dog in the back.,Заведіть його на задній двір.,Заберіть собаку в спину.
863,After we help Barbie.,Коли допоможемо Барбі.,"Після того, як ми допоможемо Барбі."
864,Horizontal Sine,Синусоїда,Горизонтальна синя протока
865,Why is it when something happens it is always you three?,"Пoяснiть, чoму ваша тpiйця завжди там, де щoсь тpапляється?","Чому, коли щось трапляється, завжди ви троє?"
866,Is & executable,Можна виконувати,Чи є & виконуваним файлом
867,Where do you come from?,Звідки ти?,Звідки ви?
868,How about this one?,А як тобі ця?,Як щодо цього?
869,"Why, what in the world is there that we should care for if it is not our lives, the only gift the Lord never offers us a second time.""","Але що може бути важливішим у нашому світі, якщо не життя людини, яке Бог ніколи не дає двічі?""","Таж, що в світі ми повинні дбати про те, якщо це не наше життя, єдиний дар, який Господь ніколи не пропонує нам другий раз."""
870,Angle value in degrees.,Значення кута у градусах.,Значення кута у градусах.
871,I did it!,У мене вийшло!,Я це зробив!
872,"I feel like she's trapped, you know?","Вона як у клітці, і тато робить все, що може.","Я відчуваю, що вона в пастці, розумієш?"
873,Web Colors,Веб- кольори,Веб- кольори
874,- Are you saying that I have to stay here?,"Це означає, що я маю зостатися тут?","- Ты хочешь сказать, что я должен остаться здесь?"
875,"It's a 2,000-year-old symbol of hypocrisy, slavery, and oppression.","Це 2000 річний символ лицемірства, рабства та гноблення.","Це 2000-річний символ лицемірства, рабства та гноблення."
876,You can add a password in the format: fish: / / username: password @ hostname but it is not necessary as you will be prompted for one if it is not supplied.,"Пароль можна додати у форматі: fish: // користувач: пароль @ назва_ вузла, але цього можна і не робити, оскільки, якщо ви не надасте пароля, програма запитає вас про потрібний пароль.","Ви можете додати пароль у форматі: fish: // користувач: пароль @ назва_ вузла, але це не потрібно, оскільки програма запитає вас про пароль, якщо його не вказано."
877,System colors Here you can select colors from the KDE icon palette,Системні кольори Тут ви можете вибрати кольори з палітри піктограм KDE,Системні кольори Тут ви можете вибрати кольори з палітри піктограм KDE
878,(utf16) use UTF-16 for both input and output,(utf16) скористатися UTF- 16 для вводу і виводу,(utf16) скористатися UTF- 16 для вводу і виводу
879,I'm just here to tell you that if you've got something for Shawn...,"Коротше, якщо ви можете запропонувати щось для Шона...","Я просто хочу сказать, что если у тебя есть что-то для Шона..."
880,–Are you sure?,- Справді?,Чи ви впевнені в цьому?
881,- Baba Booey!,- Це я!,- Баба Буй!
882,Are you crazy?,Ви божевільні?,Ты с ума сошла?
883,Not all of us have to.,- Не усім з нас це потрібно -,Не всім з нас це потрібно.
884,Sho!,Шо!,Шо!
885,Danil would always stand out.,Данило завжди виокремлювався.,Данило завжди виділявся.
886,Let's begin with that question.,Почнімо з цього питання.,Почнімо з цього питання.
887,"No, no, no, just straight in, man, just, what are...","Ні, ні, просто прямо, чувак, просто, якого...","Ні, ні, ні, просто прямо, чувак, просто, що..."
888,URLs older than,адрес старіших ніж,"Адреси старіші, ніж"
889,Majοr Hartley is expecting me.,Мене чекає майор Хартлі.,Мене чекає майор Хартлі.
890,You must be kidding!,Ви жартуєте!,"Ви, мабуть, жартуєте!"
891,"Oh, no.",О ні.,"О, ні."
892,Sync Panels,Синхронізувати панелі,Синхронізувати панелі
893,round the given number to the nearest integer. print round(10.8) forward 20 print round(10.3) With this code the turtle will print the numbers 11 and 10.,"округлює задане число до найближчого цілого. print round( 10. 8) forward 20 print round( 10. 3) Виконуючи цей код, черепашка напише числа 11 і 10.","округлює задане число до найближчого цілого. print round} 10, 8) forward 20 print round} 10, 3) З цим кодом черепашка виведе числа 11 і 10."
894,- Yes!,-Да!,- Так!
895,We don't stand a chance.,У нас нема жодного шансу.,У нас немає жодного шансу.
896,"Mummy, Dad, you won't believe what this snake is doing!","Мамо, тату! Дивіться, що ця змія витворяє!","Мамо, тату, ти не повіриш, що робить ця змія!"
897,Gandalf's death was not in vain.,Смерть Гендальфа була не даремною.,Смерть Гендальфа не була даремною.
898,The program on your computer which provides access to the %1 protocol has reported an interruption of an unknown type: %2.,"Програма, що надає доступ до протоколу% 1, повідомила про перепин невідомого типу:% 2.","Програма на вашому комп' ютері, яка надає доступ до протоколу% 1, повідомила про переривання невідомого типу:% 2."
899,"Come on, come on.","Швидше, швидше, всі на позиції.","Давай, давай."
900,"And the third worrying aspect this picture, is that the Book of Life is empty, there is nothing in written.","Дехто вважає, що вона має зашифроване послання про наше майбутнє. Пошук біблійного коду починається у 17-му сторіччі англійським фізиком, Ісаком Ньютоном.","І третій аспект цієї картини - це те, що Книга Життя пуста, немає нічого написаного."
901,"She's going to murder Trask, they're going to capture her... and then they're going to wipe us out.","Вона вб'є Траска, її спіймають, після чого вони нас знищать.","Вона вб'є Траска, її схоплять, а потім нас виженуть."
902,Drag and Drop Operations,Дії з перетягування зі скиданням,Дії з перетягування зі скиданням
903,And then... we wouldn't have faced that down round... and... we... wouldn't have had to settle for acquisition.,І потім... Ми могли б уникнути спаду і... І... ми... нас би ніхто не кошмарив.,И тогда... мы бы не столкнулись с этим... и... мы... не должны были бы смириться с приобретением.
904,I had an original story kicking around Paramount.,Один з моїх оригінальних сюжетів висів у студії Парамаунт.,"У мене була історія, що копалася навколо Парамаунт."
905,Here's my answer.,﻿Ось моя відповідь.,Ось моя відповідь.
906,"I buried it there, so we could go home.",аби ми вже поїхали.,"Я закопав його там, щоб ми могли піти додому."
907,Changes page size and margins.,Змінює розмір і поля сторінки.,Змінює розмір і поля сторінки.
908,"Hey, baby.","Привіт, малюче.","Привет, детка."
909,And the food?,- А замовлення?,А їжа?
910,You didn't discuss it at the board meeting?,Ви не обговорювали на засіданні колегії?,Ты не обсуждал это на заседании совета?
911,"Major Strasser, my aide, Lieutenant Casselle.","Майоре Штрассере, це мій помічник, лейтенант Кассель.","Майор Страсссер, мой айд, лейтенант Кассель."
912,Yee-haw!,Яяяяя-хууу!,Яяяя-хууу!
913,logical OR. Separates alternatives.,Логічне АБО. Відокремлює варіанти значення.,Логічне АБО. Відокремлює альтернативи.
914,I didn't even know you were coming.,"Я не знав, що ти прийдеш.","Я навіть не знав, що ти прийдеш."
915,Hope in the form of glorious combat.,Зможеш виправдатись у бою.,Здобувайте надію у вигляді славетного бою.
916,What have you done to yourself?,Що ти з собою зробив?,Що ти з собою зробив?
917,"Someone, probably you, has called karm.","Хтось, можливо ви самі, викликав karm.","Кто-то, возможно, ты, позвонил Карму."
918,Reparenting account '%2 'to top level account '%1'.,Зміна батьківського рахунка для «% 2 » на рахунок вищого рівня «% 1 ».,"Повторно батьківський рахунок ""% 2 "" на рахунок вищого рівня ""% 1."""
919,I am lying in the ocean like a whale and no-one in my Privy Council will raise a musket barrel!,"Я лежу там в океані як кит, а вся моя Таємна Рада сидить склавши руки!","Я лежу в океані, як кит, і ніхто в моїй Таємній Раді підніме бочку мушкет!"
920,"If we destroy the egg, maybe it'll go away.","Якщо ми знищимо яйце, можливо він зникне.","Якщо ми знищимо яйце, можливо, воно зникне."
921,"And so life in the Shire goes on very much as it has this past Age full of its own comings and goings, with change coming slowly.","І так воно триває життя в Буковені, майже так само, як і в минулому літочисленні. Хтось приходить та йде. Але змінюється дуже небагато, якщо взагалі щось змінюється.","І так життя в Буковені продовжується так само, як і минулі роки, наповнені власними приходами та відходами, з повільною зміною."
922,Page preview setup to fit on one page,"Налаштування, які даватимуть змогу надрукувати все на одній сторінці","Попередній перегляд сторінки, який слід вмістити на одну сторінку"
923,"It exists, that place... where my dad is safe.","Про те, що десь є місце... де мій тато живий і здоровий.","Это существо, это место... где мой отец в безопасности."
924,Farell almost strung us up by our bollocks for losing track of you.,"Фарелл нас ледь за яйця не підвісив за те, що ми тебе загубили.","Фарелл ледь не підвісив нас своїми мотлохами за те, що втратив тебе."
925,- Who knows?,Я не буду йому опиратися.,- Хто знає?
926,Me.,З собою.,Я.
927,"Yοu better gο, lads, I'm sοrry.","Хлопці, вам треба піти, даруйте.","Вам краще, хлопці, вибачте."
928,weeks,тижнів,тижнів
929,- No!,- Ні!,- Ні!
930,Pages In,Вх. сторінок,Вхід сторінок
931,You will see that you are the organizer of the event. Click the New button to add the other attendees.,"Як ви бачите, ви є організатором події. Натисніть кнопку Створити, щоб додати записи інших учасників.","Ви побачите, що ви є організатором події. Натисніть кнопку Створити, щоб додати інших учасників."
932,Then I'll burn the place down.,Тоді я спалю це місце.,Тогда я сожгу это место.
933,There she goes!,- Он він розірвався!,А ось і вона!
934,"I've always seen, the more hard eye work, the more luck I seem to have.","Я давно помітив, що чим більше я працюю, тим більше мені щастить.","Я завжди бачив, що чим більше я працюю, тим більше мені щастить."
935,Harry!,Гаррі!,Гаррі!
936,OpenPGP certificate to look up,"Сертифікат OpenPGP, який слід шукати","Сертифікат OpenPGP, який слід шукати"
937,"But you can preserve humanity and try to hold on to some, at the same time.",Але ви можете зберегти людяність намагаючись дотримуватися правил у той же час.,"Але ви можете зберегти людяність і спробувати триматися деяких, в той же час."
938,please?,Не спрямовуй на мене.,будьласка?
939,The Album Cover Manager is a useful tool for managing your album covers. You can start the Cover Manager by selecting Actions Cover Manager in the Collection Browser.,Менеджер обкладинок альбомів — це корисний інструмент для керування вашими обкладинками альбомів. Запустити менеджер обкладинок можна за допомогою пункту меню Інструменти Менеджер обкладинок у вікні переглядача збірки.,Менеджер обкладинок альбомів - це корисний інструмент для керування вашими обкладинками альбомів. Запустити менеджер обкладинок можна за допомогою пункту меню Дії Менеджер обкладинок у переглядачі збірки.
940,Choose the appropriate method of authentication that & kppp; should use to log into the server. Check with your provider for more information. Use of PAP and CHAP are described in the chapter.,"Тут можна обрати належний спосіб розпізнавання, який & kppp; слід використовувати під час обміну інформацією з сервером. Відповідні відомості можна отримати у постачальника послуг Інтернет. Використання розпізнавань PAP і CHAP описано у главі.","Тут ви можете обрати відповідний метод розпізнавання, який & kppp; використовуватиме для входу до сервера. Докладніше про це можна дізнатися з вашого постачальника послуг. Докладніше про використання PAP і CHAP можна дізнатися з глави."
941,Latitude value is invalid.,Значення широти є некоректним.,Значення широти є некоректним.
942,"By unchecking the Font checkbox, a standard font will be used for status text instead of the default handwriting font.","Якщо зняти позначку з поля Шрифт, для виведення повідомлень про стан буде використано типовий шрифт, що імітує рукописний текст.","Якщо зняти позначку з поля Шрифт, для тексту стану буде використано стандартний шрифт, а не типовий шрифт почерку."
943,Show the GnuPG Audit Log even after crypto operations that completed successfully.,Показувати журнал перевірки GnuPG навіть після успішного завершення операцій.,Показувати журнал перевірки GnuPG навіть після успішного завершення дій.
944,Allow testing Video4Linux devices,Надає змогу тестувати пристрої Video4Linux,Дозволити тестування пристроїв Video4Linux
945,Could not Launch Mail Client,Не вдається запустити поштовий клієнт,Не вдалося запустити поштовий клієнт
946,"Here you can see a list of key bindings, i. e. associations between actions (e. g. 'Copy ') shown in the left column and keys or combination of keys (e. g. Ctrl+V) shown in the right column.","Тут ви можете знайти список прив' язок клавіш, тобто прив’ язки між діями (напр. « Копіювати »), показаними в лівому стовпчику та клавішами або їх комбінаціями (напр., Ctrl+V), у правому.","Тут ви можете бачити список прив' язок клавіш, тобто прив' язок між діями (наприклад, "" Копіювати ""), показаними у лівому стовпчику і клавішами або комбінацією клавіш (наприклад, Ctrl+V), у правому."
947,Stop it.,- Досить.,Припини.
948,It's open.,Відчинено.,Відкрито.
949,He has the power to control metal.,"У нього є сила, завдяки якій він контролює метал.",У нього є сила контролювати метал.
950,It's December.,Зараз грудень.,Сьогодні грудень.
951,"To run the ""gdb"" binary from $PATH, leave this field empty. To run a custom gdb, for example, for a different architecture, enter the executable name here. You can either run gdb from $PATH, but with a different name (say, ""arm-gdb""), by typing the name here, or by specifying the full path to a gdb executable.","Щоб запускати файл програми « gdb », що розміщений за шляхом у $PATH, залиште це поле порожнім. Щоб запустити нетиповий gdb, наприклад, для іншої архітектури, введіть тут назву файла програми. Ви можете або запустити gdb з $PATH, але з іншою назвою (скажімо, « arm- gdb »), ввівши назву у цьому полі, або зазначити повний шлях до файла програми gdb.","Щоб запустити виконуваний файл "" gdb "" з $PATH, залиште це поле порожнім. Наприклад, щоб запустити нетиповий gdb, для іншої архітектури, введіть у це поле назву файла програми. Ви можете або запустити gdb з $PATH, але з іншою назвою (скажімо, "" arm- gdb ""), ввівши тут назву, або вказати повний шлях до виконуваного файла gdb."
952,Creates a new project,Створює новий проект,Створює новий проект
953,Interzone.,Інтерзона.,Інтерзона.
954,Knock 'em out.,Порви їх.,Выруби их.
955,The default & kde; Help entries are:,Серед типових пунктів Довідки & kde;:,Серед типових пунктів Довідка & kde;:
956,- You know...,- Розумієте...,- Знаєш...
957,The directrix line of a conic.,Пряма- директриса конічного перерізу.,Пряма директриси конічного перерізу.
958,Title Listing (Vertical) XSL Template,Шаблон списку заголовків (вертикального) у XSL,Шаблон списку заголовків (вертикального) XSL
959,Dominik Haumann,Домінік Хауман,Dominik Haumann
960,Sorry to anyone I missed or if I mis-spelt your name!,"Вибачте, якщо я вас пропустив або неправильно написав ім’ я!","Вибачте за те, за ким я не встиг чи неправильно виклав ваше ім'я!"
961,America/ Kentucky/ Monticello,Америка/ Кентуки/ Монтісельо,Америка/ Кентуккі/ Монтічелло
962,So Okita won his bet...,Значить Окіта виграв з цією ставкою ...,Так Окіта виграв свою ставку...
963,It's going to take a signed order from the Chairman.,Потрібне письмове розпорядження Верховне.,Это займет подписанное приказом председателя.
964,"Please, it's tens of thousands of dollars.","Прошу тебе, це десятки тисяч доларів.","Будь ласка, це десятки тисяч доларів."
965,Write Xing VBR tag,Записувати мітку Xing VBR,Записувати мітку Xing VBR
966,- I need tο wait fοr the right mοment.,Потрібно дочекатися певного моменту.,Мені потрібно зачекати на правильне рішення.
967,Do you plan to support more devices?,Чи існують плани підтримки більшої кількості пристроїв?,Ви плануєте підтримувати більше пристроїв?
968,I'm taking all my money and I'm placing it against us.,Всі свої фінанси я поставлю на наш з тобою програш.,Я беру всі свої гроші і даю їх проти нас.
969,- Document number G24L8. - I'm not sure if-,- Документ номер Г24Л8.,- Документ номер G24L8.
970,Jon Snow came down from Castle Black with a wildling army and won the Battle of the Bastards.,- Джон Сноу привів армію здичавілих і переміг у Битві Бастардів.,Джон Сноу сходив з Чорного замку з армією здичавілих і виграв битву зі виродками.
971,Display Window Selection,Показ вибраного у вікні,Показати вибір вікна
972,"Check to see if a string ends in a space (which is often important when displaying it in the user interface, or when it gets concatenated with others).","Перевірити, чи закінчується рядок пробілом (часто це важливо під час його показу у інтерфейсі користувача або коли цей рядок об’ єднується з іншими).","Перевірте, чи закінчується рядок пробілом (часто це важливо під час показу цього рядка у інтерфейсі користувача або у випадку, коли рядок з' єднується з іншими)."
973,- What things?,- Які речі?,- Які речі?
974,And then the pass of Cirith Ungol.,А потім стежкою Кіріт Унголу.,А потім прохід Сіріту Унгола.
975,- That's not best for him.,- Це не краще для нього.,- Это не лучше для него.
976,President gave me a direct order.,Президент дав мені чіткий наказ.,Президент дав мені прямий наказ.
977,Get back here!,Назад сюди!,Вернись!
978,No!,Ні!,Ні!
979,You know where they're looking?,Ти знаєш де вони шукають?,"Ты знаешь, где они ищут?"
980,"Knowing I can count on you, I need to know that.","Знати, що я можу розраховувати на тебе, мені так це було потрібно.","Знаючи, що я можу розраховувати на тебе, мені потрібно це знати."
981,That purulent little cunt? What for?,Цю маленьку гнійну вагіну?,Эта грязная маленькая пизда?
982,I tell you a secret.,Открою секрет...,Я розповім тобі секрет.
983,- The bloated administrators.,- Роздута бюрократія ...,- Роздуті адміністратори.
984,You know I'm right.,"Погодься, я маю рацію.","Ти знаєш, що я маю рацію."
985,That's your way out.,Це твій шлях на волю.,Це твій вихід.
986,Toggle whether NGC objects are drawn in the sky map.,Перемикач показу об' єктів каталогу Дреєра (NGC) на карті неба.,Перемикач показу об' єктів Дреєра (NGC) на карті неба.
987,You left the Circus shortly after I retired.,Ти пішла з Цирку майже одразу після мене.,"Ти вийшов з Цирку невдовзі після того, як я пішов на пенсію."
988,I had to come to prison to be a crook.,"Варто було сісти у в'язницю, і я став злочинцем.","Я должен был прийти в тюрьму, чтобы быть мошенником."
989,Data integrity and validity,Цілісність і коректність даних,Цілісність і коректність даних
990,- Of course you should.,- Та чого ти? ..,- Звичайно.
991,KDE-PIM Groupware Configuration Wizard,Майстер налаштування групової роботи KDE- PIM,Майстер налаштування групової роботи KDE- PIM
992,Mon,пн,Пнд
993,Don't stay mad at me.,Не злись на меня.,Не злись на меня.
994,Fuckin' hell!,Хай їм грець!,Блядь!
995,You're law enforcement.,Ти з державних органів.,Ви правоохоронні органи.
996,R-l-E-N-N-E.,"І він француз, так адже?",R-I-E-N-N-E.
997,Sets the maximum cost of all job filters that can be run at the same time. A limit of 0 means no limit. A typical job may need a filter limit of at least 200. Limits less than the minimum required by a job force a single job to be printed at any time. The default limit is 0 (unlimited).,"Встановлює максимальну вартість фільтрів, яка може виконуватись одночасно. Значення 0 означає без обмеження. Звичайне завдання потребує щонайменше 200; обмеження менші за мінімальне призведуть до друку всього завдання у будь- який час. Типове значення: 0 (необмежено).","Встановлює максимальну вартість всіх фільтрів завдань, які можна виконувати одночасно. Обмеження 0 означає відсутність обмеження. Звичайне завдання може потребувати щонайменше 200. Обмеження менші за мінімальне значення для завдання, яке слід виконати будь- коли. Типове значення: 0 (необмежено)."
998,Selection (Rectangular) (S),Вибір (прямокутний) (S),Вибір (Rectular) (S)
