,de,uk,TRANSLATION
893,Das weiß ich bereits.,Я вже це знаю.,Das weiß ich schon.
894,Das weiß ich nicht.,Я цього не знаю.,Das weiß ich nicht.
895,Das weiß ich schon.,Я вже знаю.,Ich weiß es schon.
896,Das weiß ich schon.,Я вже це знаю.,Das weiß ich schon.
897,Das weißt du doch.,Ти вже це знаєш.,Das weißt du schon.
898,Das weißt du ja.,Ти вже це знаєш.,Das weißt du schon.
899,Das Wetter ist heute wunderbar.,Погода сьогодні чудова.,Heute ist das Wetter wunderbar.
900,Das Wetter war windstill.,Погода була безвітряна.,Die Wetterlage war hoffnungslos.
901,Das wird dreißig Euro kosten.,Це коштуватиме 30 євро.,Das würde 30 Euro kosten.
902,Das wird einfach.,Це буде легко.,Das wäre leicht.
903,Das wird komisch sein.,Це буде весело.,Das wird lustig.
904,Das wird leicht sein.,Це буде легко.,Das wäre leicht.
905,Das wird lustig sein.,Це буде весело.,Das wird lustig.
906,Das wird mein letzter Satz in Englisch sein.,Це буде моє останнє речення англійською.,Das ist mein letzter Satz auf Englisch.
907,Das wird nicht allzu schwierig sein.,Це буде не так вже й складно.,Es wird nicht so schwierig sein.
908,Das wird nicht funktionieren.,Це не спрацює.,Das wird nicht funktionieren.
909,Das wird nicht klappen.,Це не спрацює.,Das wird nicht funktionieren.
910,Das wird nicht noch einmal passieren.,Цього більше не трапиться.,Das wird nicht mehr passieren.
911,Das wird nicht passieren.,Це не станеться.,Das wird nicht passieren.
912,Das wird sich ereignen.,Це трапиться.,Das wird geschehen.
913,Das wird Tom nicht gefallen.,Тому це не сподобається.,Das würde es also nicht gefallen.
914,Das wisst ihr doch.,Ви вже це знаєте.,Das wissen Sie bereits.
915,Das wisst ihr ja.,Ви вже це знаєте.,Das wissen Sie bereits.
916,Das wollte ich nicht.,Я не хотів цього.,Das wollte ich nicht.
917,Das Wörterbuch enthält ungefähr eine halbe Million Wörter.,У цьому словнику приблизно півмільйона слів.,Es gibt ungefähr eine halbe Million Wörter in diesem Wörterbuch.
918,Das Wörterbuch hier gehört mir.,Цей словник мій.,Das ist mein Wörterbuch.
919,Das Wort wird nicht mehr benutzt.,Це слово більше не використовується.,Dieses Wort wird nicht mehr verwendet.
920,Das wusste ich nicht.,Я цього не знала.,Das wusste ich nicht.
921,Das Zimmer hat zwei Fenster.,Ця кімната має два вікна.,Dieser Raum hat zwei Fenster.
922,Das Zimmer ist leer.,Кімната пуста.,Das Zimmer ist leer.
923,Das Zimmer war abgeschlossen.,Кімната була замкнена.,Das Zimmer war verschlossen.
924,Das Zimmer wird morgen angestrichen.,Кімнату завтра пофарбують.,Morgen wird das Zimmer gestrichen.
925,Das Zusehen schmerzte.,На це було боляче дивитися.,"Es tat weh, das zu sehen."
926,Das zweite Semester hat geendet.,Закінчився другий семестр.,Das zweite Semester ist vorbei.
927,David ist zu Hause.,Давид вдома.,David ist zu Hause.
928,Davon könnt ihr nur träumen.,Вам про це тільки мріяти.,Das ist nur ein Traum.
929,Da war niemand im Garten.,У саду нікого не було.,Niemand war im Garten.
930,Dazu bin ich zu alt.,Я для цього занадто стара.,Ich bin zu alt dafür.
931,"Dein Bruder hat geheiratet, oder?","Твій брат одружився, чи не так?","Dein Bruder hat geheiratet, nicht wahr?"
932,Deine Antwort ist falsch.,Твоя відповідь невірна.,Deine Antwort ist falsch.
933,Deine Frisur gefällt mir nicht.,Мені не подобається твоя зачіска.,Ich mag deine Frisur nicht.
934,Deine Haare sind nicht einmal nass.,Твоє волосся навіть не мокре.,Dein Haar ist auch nicht nass.
935,Deine Haare sind zu lang.,Твоє волосся задовге.,Dein Haar ist zu lang.
936,Deine Ideen sind ziemlich altmodisch.,Твої ідеї досить старомодні.,Deine Ideen sind ziemlich altmodisch.
937,Deine Krawatte sitzt schief.,У тебе перекосилася краватка.,Du hast eine Krawatte zugeknöpft.
938,Deine Mannschaft ist stärker als unsere.,Твоя команда сильніша від нашої.,Dein Team ist stärker als unser Team.
939,Deine Mannschaft ist stärker als unsere.,"Твоя команда сильніша, ніж наша.",Dein Team ist stärker als unser Team.
940,Deine Meinung interessiert mich nicht.,Мене не цікавить ваша думка.,Ihre Meinung interessiert mich nicht.
941,Deine Meinung ist sehr konstruktiv.,Твоя думка дуже конструктивна.,Du hast eine sehr konstruktive Idee.
942,Deine Mutter ist ein Computer.,Твоя мати - комп'ютер.,Deine Mutter ist ein Computer.
943,Deine Mutter wird mich umbringen.,Твоя мама мене вб'є.,Deine Mutter wird mich umbringen.
944,Dein Englisch ist perfekt.,У тебе досконала англійська.,Du hast perfektes Englisch.
945,Dein Erfolg ist das Ergebnis deiner harten Arbeit.,Твій успіх - результат твоєї важкої праці.,Dein Erfolg ist das Ergebnis deiner harten Arbeit.
946,Dein Französisch ist perfekt.,У тебе досконала французька.,Du hast perfekte Französisch.
947,Dein Französisch ist schon viel besser geworden.,Твоя французька стала набагато краща.,Dein Französisch ist viel besser geworden.
948,Dein Freund ist hier.,Твій друг тут.,Dein Freund ist hier.
949,Dein Führerschein ist abgelaufen.,Твої водійські права прострочені.,Ihre Führerscheine sind überfällig.
950,Dein Geld brauch ich nicht. Ich brauche deine Zeit.,Мені не потрібні твої гроші. Мені потрібен твій час.,Ich brauche dein Geld nicht.
951,Dein Haus ist fantastisch.,Твій будинок просто фантастичний.,Dein Haus ist fantastisch.
952,Dein Haus muss repariert werden.,Твій будинок потребує ремонту.,Dein Haus muss repariert werden.
953,Dein Hund biss mich in die Hand.,Твій собака вкусив мене за руку.,Dein Hund hat mich am Arm gebissen.
954,Dein Hund hat mich in die Hand gebissen.,Твій собака вкусив мене за руку.,Dein Hund hat mich am Arm gebissen.
955,Dein Kleid gefällt mir.,Мені подобається твоя сукня.,Ich mag dein Kleid.
956,Dein Kleid ist schon nicht mehr in Mode.,Твоє плаття вже вийшло з моди.,Dein Kleid ist aus der Mode gekommen.
957,Dein Reißverschluss ist offen.,У тебе розстебнута ширінька!,Du hast ein gespicktes Gemäuer!
958,Dein Vorschlag gefällt mir.,Мені подобається твоя пропозиція.,Ich mag dein Angebot.
959,Dein Wort in Gottes Ohr!,Твої б слова та богу в вуха!,Deine Worte und Worte wären mir zu Ohren gekommen.
960,Delfine und Wale sind keine Fische.,Детьфіни та кити не риби.,Delphine und Wale sind keine Fische.
961,"Dem nach zu urteilen, was sie sagt, ist er schuldig.","Судячи з того, що вона каже, він винний.","Er ist für das, was sie sagt, verantwortlich."
962,Den Apfel habe ich gegessen.,Я з'їв яблуко.,Ich aß den Apfel.
963,Den Film will ich noch einmal sehen.,Я хочу подивитися цей фільм ще раз.,Ich will den Film noch einmal sehen.
964,Denke an deine Zukunft!,Подумай про своє майбутнє.,Denk an deine Zukunft.
965,"Denke daran, dass du Staub bist.","Пам’ятай, що ти порох.","Vergiß nicht, daß du Staub bist."
966,Denke darüber nach.,Поміркуй над цим.,Denken wir einmal darüber nach.
967,"Denken Sie, Tom ist betrunken?","Гадаєте, Том п'яний?","Glauben Sie, Tom ist betrunken?"
968,Denke über deine Zukunft nach!,Подумай про своє майбутнє.,Denk an deine Zukunft.
969,Denk mal drüber nach.,"Подумай про це, будь ласка.","Denken Sie darüber nach, bitte."
970,Denkst du auf Französisch?,Ти думаєш французькою?,Findest du Französisch?
971,"Denkst du, dass ich meine Zeit vertue?","Гадаєш, я марную свій час?","Glaubst du, ich verschwende meine Zeit?"
972,"Denkst du, Tom ist betrunken?","Гадаєш, Том п'яний?","Glaubst du, Tom ist betrunken?"
973,"Denkt ihr, Tom ist betrunken?","Гадаєте, Том п'яний?","Glauben Sie, Tom ist betrunken?"
974,Den Studenten gefällt es.,Студентам він подобається.,Den Studenten gefällt er.
975,Den Tapferen hilft das Glück.,Доля посміхається сміливим.,Das Schicksal lächelt mutig.
976,Der Affe fiel vom Baum.,Мавпа упала з дерева.,Der Affe ist vom Baum gefallen.
977,Der alte Hund bellte.,Старий пес загавкав.,Der alte Hund ist eingebrochen.
978,Der alte Mann gab ihr eine kleine Puppe.,Цей дідусь подарував їй маленьку ляльку.,Er schenkte ihr eine kleine Puppe.
979,Der Alte schenkte ihr eine kleine Puppe.,Цей дідусь подарував їй маленьку ляльку.,Er schenkte ihr eine kleine Puppe.
980,Der Anfang der Geschichte ist interessant.,Початок розповіді цікавий.,Der Beginn der Geschichte ist interessant.
981,Der Antisemitismus ist der Sozialismus der dummen Kerle.,Антисемитизм - це соціалізм для дурнів.,Antisemitismus ist der Sozialismus der Narren.
982,Der Apfel fiel vom Baum.,Яблуко впало з дерева.,Ein Apfel fiel vom Baum.
983,Der Apfel ist gelb.,Це яблуко жовте.,Das ist ein gelber Apfel.
984,Der Apfel ist gelb.,Яблуко жовте.,Der Apfel ist gelb.
985,Der Apfel ist noch nicht reif.,Яблуко ще не стигле.,Der Apfel ist noch nicht reif.
986,Der Apfel ist vom Baum gefallen.,Яблуко впало з дерева.,Ein Apfel fiel vom Baum.
987,Der Architekt adaptierte das Haus an die Bedürfnisse alter Menschen.,Архітектор пристосував будинок під потреби похилих людей.,Der Architekt installierte ein Gebäude für die Älteren.
988,"Der Arzt riet ihm ihm, mit dem Rauchen aufzuhören.",Лікар порадив йому кинути палити.,"Der Arzt riet ihm, das Rauchen aufzugeben."
989,Der Aufzug funktioniert heute nicht.,Ліфт сьогодні не працює.,Der Lift läuft heute nicht mehr.
990,Der Ausländer konnte überhaupt kein Japanisch.,Іноземець взагалі не знав японської.,Die Japaner kannten ihn überhaupt nicht.
991,Der Autor hat einen schönen Stil.,У автора гарний стиль.,Der Autor hat einen guten Stil.
992,Der Bahnhof ist ganz in der Nähe des Hotels.,Станція знаходиться біля готелю.,Die Station befindet sich in der Nähe des Hotels.
993,Der Bär frisst einen Apfel.,Ведмідь їсть яблуко.,Der Bär ißt einen Apfel.
994,Der Bär hat einen kurzen Schwanz.,У ведмедя короткий хвіст.,Der Bär hat einen kurzen Schwanz.
995,Der Baum ist grün.,Дерево зелене.,Ein grüner Baum.
996,Der Beamer funktioniert nicht.,Проектор не працює.,Der Projektor funktioniert nicht.
997,Der Beamer geht nicht.,Проектор не працює.,Der Projektor funktioniert nicht.
998,Der Berg ist mit Schnee bedeckt.,Гора вкрита снігом.,Der Berg ist mit Schnee bedeckt.
999,Der Bleistift ist schwarz.,Олівець чорний.,Der Bleistift ist schwarz.
