Unnamed: 0,de,uk,TRANSLATION,BLEU_Score,avg
666,Das ist meine Küche.,Це моя кухня.,Das ist meine Küche.,1.0,0.8304443303979759
667,Das ist meine Lieblingsband.,Це моя улюблена група.,Das ist meine Lieblingsband.,1.0,0.8304443303979759
668,Das ist meine Postleitzahl.,Це мій поштовий індекс.,Das ist meine Postleitzahl.,1.0,0.8304443303979759
669,"Das ist mein erster Flug. Ich bin nervös, sagt Hiroshi.","Це мій перший політ. Я нервуюся, - каже Хіросі.","Das ist mein erster Flug. Ich bin nervös, sagt Hiroshi.",1.0,0.8304443303979759
670,Das ist meine Schwester Maria.,Це моя сестра Мері.,Das ist meine Schwester Maria.,1.0,0.8304443303979759
671,Das ist meine Schwester. Sie heißt Julia.,Це моя сестра. Її звати Юля.,Das ist meine Schwester. Sie heißt Julia.,1.0,0.8304443303979759
672,Das ist meine Schwester.,Це моя сестра.,Das ist meine Schwester.,1.0,0.8304443303979759
673,Das ist meine Uhr.,Цей годинник мій.,Das ist meine Uhr.,1.0,0.8304443303979759
674,Das ist mein Fahrrad.,Це мій велосипед.,Das ist mein Fahrrad.,1.0,0.8304443303979759
675,Das ist mein Freund Tom.,Це мій друг Том.,Das ist mein Freund Tom.,1.0,0.8304443303979759
676,Das ist mein Geld.,Це мої гроші.,Das ist mein Geld.,1.0,0.8304443303979759
677,Das ist mein letztes Wort.,Це моя остаточна відповідь.,Das ist mein letztes Wort.,1.0,0.8304443303979759
678,Das ist mein Lieblingsgericht.,Це моя улюблена страва.,Das ist mein Lieblingsgericht.,1.0,0.8304443303979759
679,Das ist mein Lieblingslied.,Це моя улюблена пісня.,Das ist mein Lieblingslied.,1.0,0.8304443303979759
680,Das ist mein Lieblingsstuhl.,Це мій улюблений стілець.,Das ist mein Lieblingsstuhl.,1.0,0.8304443303979759
681,Das ist mein Lied!,Це моя пісня!,Das ist mein Lied!,1.0,0.8304443303979759
682,Das ist mein Schlafzimmer.,Це моя спальня.,Das ist mein Schlafzimmer.,1.0,0.8304443303979759
683,Das ist mir egal.,Я не заперечую.,Das ist mir egal.,1.0,0.8304443303979759
684,Das ist mir völlig egal!,Мені цілком байдуже!,Das ist mir völlig egal!,1.0,0.8304443303979759
685,Das ist nicht das einzige Problem.,Це не єдина проблема.,Das ist nicht das einzige Problem.,1.0,0.8304443303979759
686,"Das ist nicht das, was ich bestellt habe.",Я не це замовляла.,"Das ist nicht das, was ich bestellt habe.",1.0,0.8304443303979759
687,Das ist nicht immer der Fall.,Це не завжди так.,Das ist nicht immer der Fall.,1.0,0.8304443303979759
688,Das ist nicht komisch.,Це не смішно.,Das ist nicht komisch.,1.0,0.8304443303979759
689,Das ist nicht legal.,Це незаконно.,Das ist nicht legal.,1.0,0.8304443303979759
690,Das ist nicht logisch.,Це нелогічно.,Das ist nicht logisch.,1.0,0.8304443303979759
691,"Das ist nicht meine Meinung, nur meine Übersetzung!","Це не моя точка зору, а лише мій переклад!","Das ist nicht meine Meinung, nur meine Übersetzung!",1.0,0.8304443303979759
692,"Das ist nicht mein Haus, nein.","Ні, це не мій будинок.","Das ist nicht mein Haus, nein.",1.0,0.8304443303979759
693,Das ist nicht möglich!,Це неможливо!,Das ist nicht möglich!,1.0,0.8304443303979759
694,Das ist nichts für dich.,Це не тобі.,Das ist nichts für dich.,1.0,0.8304443303979759
695,Das ist nicht sicher.,Це не є безпечним.,Das ist nicht sicher.,1.0,0.8304443303979759
696,"Das ist nichts, was jeder Beliebige tun kann.","Це не те, що може зробити кожен.","Das ist nichts, was jeder Beliebige tun kann.",1.0,0.8304443303979759
697,Das ist nicht Tom.,Це не Том.,Das ist nicht Tom.,1.0,0.8304443303979759
698,Das ist nicht unmöglich.,Це не неможливо.,Das ist nicht unmöglich.,1.0,0.8304443303979759
699,Das ist nicht verkäuflich.,Це не на продаж.,Das ist nicht verkäuflich.,1.0,0.8304443303979759
700,"Das ist nicht, was ich bestellt habe.",Я не це замовляв.,"Das ist nicht, was ich bestellt habe.",1.0,0.8304443303979759
701,"Das ist nicht, was ich bestellt habe.",Я не це замовляла.,"Das ist nicht, was ich bestellt habe.",1.0,0.8304443303979759
702,Das ist nicht wichtig.,Це не має значення.,Das ist nicht wichtig.,1.0,0.8304443303979759
703,Das ist nicht zum Lachen!,Це не смішно!,Das ist nicht zum Lachen!,1.0,0.8304443303979759
704,Das ist nicht zum Lachen!,Це не смішно.,Das ist nicht zum Lachen!,1.0,0.8304443303979759
705,Das ist nur ein Placebo.,Це лише плацебо.,Das ist nur ein Placebo.,1.0,0.8304443303979759
706,Das ist original.,Оригінально.,Das ist original.,1.2213386697554703e-77,0.8304443303979759
707,Das ist reine Zeitverschwendung.,Це тільки даремна трата часу.,Das ist reine Zeitverschwendung.,1.0,0.8304443303979759
708,Das ist richtig!,Вірно!,Das ist richtig!,1.2213386697554703e-77,0.8304443303979759
709,Das ist Sabotage.,Це саботаж.,Das ist Sabotage.,1.2213386697554703e-77,0.8304443303979759
710,Das ist schon aus der Mode.,Це вже не в моді.,Das ist schon aus der Mode.,1.0,0.8304443303979759
711,Das ist sehr großzügig von Ihnen.,Це дуже великодушно з вашого боку.,Das ist sehr großzügig von Ihnen.,1.0,0.8304443303979759
712,Das ist sehr schlecht.,Це дуже погано.,Das ist sehr schlecht.,1.0,0.8304443303979759
713,Das ist sehr teuer.,Це надзвичайно дорого.,Das ist sehr teuer.,1.0,0.8304443303979759
714,Das ist sehr unprofessionell.,Це дуже непрофесійно.,Das ist sehr unprofessionell.,1.0,0.8304443303979759
715,Das ist sein Auto.,Це його машина.,Das ist sein Auto.,1.0,0.8304443303979759
716,Das ist seine Formel.,Це його формула.,Das ist seine Formel.,1.0,0.8304443303979759
717,Das ist seine Meinung.,Це його думка.,Das ist seine Meinung.,1.0,0.8304443303979759
718,Das ist sein Haus.,Цей будинок належить йому.,Das ist sein Haus.,1.0,0.8304443303979759
719,Das ist sein Pferd.,Це її кінь.,Das ist sein Pferd.,1.0,0.8304443303979759
720,Das ist sein Pferd.,Це його кінь.,Das ist sein Pferd.,1.0,0.8304443303979759
721,Das ist so klar wie Kloßbrühe.,Це ясно як божий день.,Das ist so klar wie Kloßbrühe.,1.0,0.8304443303979759
722,Das ist so langweilig.,Це так нудно.,Das ist so langweilig.,1.0,0.8304443303979759
723,"Das ist Tom, mein Kollege.","Це Том, мій колега.","Das ist Tom, mein Kollege.",1.0,0.8304443303979759
724,Das ist Toms Familie.,Це родина Тома.,Das ist Toms Familie.,1.0,0.8304443303979759
725,Das ist Toms Job.,Це робота Тома.,Das ist Toms Job.,1.0,0.8304443303979759
726,Das ist Toms Schirm.,Це парасолька Тома.,Das ist Toms Schirm.,1.0,0.8304443303979759
727,Das ist Toms Vater.,Це тато Тома.,Das ist Toms Vater.,1.0,0.8304443303979759
728,Das ist Tom.,Це Том.,Das ist Tom.,1.2213386697554703e-77,0.8304443303979759
729,Das ist ungewöhnlich.,Це незвично.,Das ist ungewöhnlich.,1.2213386697554703e-77,0.8304443303979759
730,Das ist unmöglich.,Це неможливо.,Das ist unmöglich.,1.2213386697554703e-77,0.8304443303979759
731,Das ist unser Auto.,Це наша машина.,Das ist unser Auto.,1.0,0.8304443303979759
732,Das ist unser Baseballplatz.,Це наше бейсбольне поле.,Das ist unser Baseballplatz.,1.0,0.8304443303979759
733,Das ist unsere Chance.,Це наш шанс.,Das ist unsere Chance.,1.0,0.8304443303979759
734,Das ist unsere Schule.,Це наша школа.,Das ist unsere Schule.,1.0,0.8304443303979759
735,Das ist verständlich.,Це зрозуміло.,Das ist verständlich.,1.2213386697554703e-77,0.8304443303979759
736,Das ist völlig verständlich.,Це цілком зрозуміло.,Das ist völlig verständlich.,1.0,0.8304443303979759
737,Das ist von meinem Vater.,Це належить батьку.,Das ist von meinem Vater.,1.0,0.8304443303979759
738,Das ist von Tom.,Це від Тома.,Das ist von Tom.,1.0,0.8304443303979759
739,Das ist vor drei Tagen passiert.,Це було три дні тому.,Das ist vor drei Tagen passiert.,1.0,0.8304443303979759
740,Das ist Wasser.,Це вода.,Das ist Wasser.,1.2213386697554703e-77,0.8304443303979759
741,Das ist wirklich eine nette Überraschung!,Це насправді добрий сюрприз!,Das ist wirklich eine nette Überraschung!,1.0,0.8304443303979759
742,Das ist wirklich großartig!,Це дивовижно!,Das ist wirklich großartig!,1.0,0.8304443303979759
743,Das ist wirklich traurig.,Це справді сумно.,Das ist wirklich traurig.,1.0,0.8304443303979759
744,Das ist zu teuer.,Це задорого!,Das ist zu teuer.,1.0,0.8304443303979759
745,Das ist zu teuer!,Це занадто дорого!,Das ist zu teuer!,1.0,0.8304443303979759
746,Das ist zu teuer.,Це занадто дорого!,Das ist zu teuer.,1.0,0.8304443303979759
747,Das Jobangebot steht noch.,Пропозиція роботи ще в силі.,Das Jobangebot steht noch.,1.0,0.8304443303979759
748,Das kann jeder.,Будь-хто може це зробити.,Das kann jeder.,1.2213386697554703e-77,0.8304443303979759
749,Das kann jeder.,Кожен може це зробити.,Das kann jeder.,1.2213386697554703e-77,0.8304443303979759
750,Das kann man in jedem Wörterbuch nachsehen.,Це є в будь-якому словнику.,Das kann man in jedem Wörterbuch nachsehen.,1.0,0.8304443303979759
751,Das kann nur sie sein.,Це може бути лише вона.,Das kann nur sie sein.,1.0,0.8304443303979759
752,Das kannst du nicht machen.,Не можна цього робити.,Das kannst du nicht machen.,1.0,0.8304443303979759
753,Das Kind folgte mir zum Park.,Дитина пішла за мною до парку.,Das Kind folgte mir zum Park.,1.0,0.8304443303979759
754,Das klingt vernünftig.,Звучить резонно.,Das klingt vernünftig.,1.2213386697554703e-77,0.8304443303979759
755,Das klippklar.,Це ясно як божий день.,Das klippklar.,1.491668146240062e-154,0.8304443303979759
756,Das Klopapier ist alle!,Закінчився туалетний папір!,Das Klopapier ist alle!,1.0,0.8304443303979759
757,Das kommt auf den Zusammenhang an.,Це залежить від контексту.,Das kommt auf den Zusammenhang an.,1.0,0.8304443303979759
758,Das kommt mir spanisch vor.,Для мене це китайська грамота.,Das kommt mir spanisch vor.,1.0,0.8304443303979759
759,Das könnte dich vielleicht interessieren.,Це може тебе зацікавити.,Das könnte dich vielleicht interessieren.,1.0,0.8304443303979759
760,Das Konzert fängt gleich an.,Концерт скоро розпочнеться.,Das Konzert fängt gleich an.,1.0,0.8304443303979759
761,Das Konzert war ein Erfolg.,Концерт мав успіх.,Das Konzert war ein Erfolg.,1.0,0.8304443303979759
762,Das Land braucht eure Hilfe.,Країні потрібна ваша допомога.,Das Land braucht eure Hilfe.,1.0,0.8304443303979759
763,Das Land braucht Ihre Hilfe.,Країні потрібна ваша допомога.,Das Land braucht Ihre Hilfe.,1.0,0.8304443303979759
764,Das Land erklärte seine Unabhängigkeit am 7. September 1822.,Країна проголосила незалежність сьомого вересня тисяча вісімсот двадцять другого року.,Das Land erklärte seine Unabhängigkeit am 7. September 1822.,1.0,0.8304443303979759
765,Das Laub des Baumes wurde gelb.,Листя на дереві пожовтіло.,Das Laub des Baumes wurde gelb.,1.0,0.8304443303979759
766,Das Leben geht weiter.,Життя триває.,Das Leben geht weiter.,1.0,0.8304443303979759
767,Das Leben ist gut.,Життя добре.,Das Leben ist gut.,1.0,0.8304443303979759
768,Das Leben ist interessant.,Життя цікаве.,Das Leben ist цікаво.,8.636168555094496e-78,0.8304443303979759
769,Das Leben ist nicht gerecht.,Життя несправедливе.,Das Leben ist nicht gerecht.,1.0,0.8304443303979759
770,"Das Leben ist nicht lang, es ist breit!","Життя не довге, воно широке!","Das Leben ist nicht lang, es ist breit!",1.0,0.8304443303979759
771,Das Leben ist schwer.,Життя важке.,Das Leben ist schwer.,1.0,0.8304443303979759
772,Das Leben ist sehr kurz.,Життя дуже коротке.,Das Leben ist sehr kurz.,1.0,0.8304443303979759
773,Das Leben ist voller Abenteuer.,Життя є повне пригод.,Das Leben ist voller Abenteuer.,1.0,0.8304443303979759
774,"Das Leben ist zu kurz, um Deutsch zu lernen.","Життя занадто коротке, щоб вивчати німецьку.","Das Leben ist zu kurz, um Deutsch zu lernen.",1.0,0.8304443303979759
775,"Das Leben ist zu kurz, um Deutsch zu lernen.","Життя занадто коротке, щоб вивчити німецьку.","Das Leben ist zu kurz, um Deutsch zu lernen.",1.0,0.8304443303979759
776,Das Lesen von Romanen ist mein Hobby.,Моє хобі - читання романів.,Das Lesen von Romanen ist mein Hobby.,1.0,0.8304443303979759
777,Das Licht ist aus.,Світло вимкнене.,Das Licht ist aus.,1.0,0.8304443303979759
778,Das Licht ist aus.,Світло не горить.,Das Licht ist aus.,1.0,0.8304443303979759
779,Das machst du doch mit Absicht!,Ти робиш це навмисно!,Das machst du doch mit Absicht!,1.0,0.8304443303979759
780,Das macht mir keine Sorgen.,Я про це не турбуюся.,Das macht mir keine Sorgen.,1.0,0.8304443303979759
781,Das macht neugierig.,Це цікаво.,Das macht neugierig.,1.2213386697554703e-77,0.8304443303979759
782,"Das Mädchen ging zur Schule, obwohl sie krank war.","Дівчинка пішла до школи, незважаючи на хворобу.","Das Mädchen ging zur Schule, obwohl sie krank war.",1.0,0.8304443303979759
783,Das Mädchen half dem Jungen.,Дівчина допомогла хлопцю.,Das Mädchen half dem Jungen.,1.0,0.8304443303979759
784,Das Mädchen hat dem Jungen geholfen.,Дівчина допомогла хлопцю.,Das Mädchen hat dem Jungen geholfen.,1.0,0.8304443303979759
785,Das Mädchen hat dem Jungen geholfen.,Дівчина допомогла хлочику.,Das Mädchen hat dem Jungen geholfen.,1.0,0.8304443303979759
786,Das Mädchen hatte Angst vor ihrem eigenen Schatten.,Дівчинка боялася власної тіні.,Das Mädchen hatte Angst vor ihrem eigenen Schatten.,1.0,0.8304443303979759
787,Das Mädchen ist einsam.,Дівчина самотня.,Das Mädchen ist einsam.,1.0,0.8304443303979759
788,Das Mädchen ist hübsch.,Дівчина гарна.,Das Mädchen ist hübsch.,1.0,0.8304443303979759
789,Das Mädchen ist klein für sein Alter.,Дівчинка мала для свого віку.,Das Mädchen ist klein für sein Alter.,1.0,0.8304443303979759
790,Das Mädchen ist schön.,Дівчина гарна.,Das Mädchen ist schön.,1.0,0.8304443303979759
791,Das Mädchen singt und tanzt und dann lächelt es mich an.,"Дівчинка співає й танцює, а потім посміхається мені.",Das Mädchen singt und tanzt und dann lächelt es mich an.,1.0,0.8304443303979759
792,Das Mädchen singt und tanzt und dann lacht es mich an.,"Дівчинка співає й танцює, а потім посміхається мені.",Das Mädchen singt und tanzt und dann lacht es mich an.,1.0,0.8304443303979759
793,Das Mädchen wusch sich die Haare.,Дівчина помила волосся.,Das Mädchen wusch sich die Haare.,1.0,0.8304443303979759
794,Das menschliche Gehirn wiegt ungefähr drei Pfund.,Мозок людини важить близько трьох фунтів.,Das menschliche Gehirn wiegt ungefähr drei Pfund.,1.0,0.8304443303979759
795,Das möchte ich mit eigenen Augen sehen.,Я хочу побачити це на власні очі.,Das möchte ich mit eigenen Augen sehen.,1.0,0.8304443303979759
796,Das Murmeltier ist unsterblich.,Байбак безсмертний.,Das Murmeltier ist unsterblich.,1.0,0.8304443303979759
797,Das Museum ist nun geschlossen.,Музей зараз закритий.,Das Museum ist nun geschlossen.,1.0,0.8304443303979759
798,Das müsst ihr entscheiden.,Вам вирішувати.,Das müsst ihr entscheiden.,1.0,0.8304443303979759
799,Das nächste Jahr wird schlimmer.,Наступний рік буде гіршим.,Das nächste Jahr wird schlimmer.,1.0,0.8304443303979759
800,Das nächste Mal werde ich es selbst machen.,Наступного разу я зроблю його сам.,Das nächste Mal werde ich es selbst machen.,1.0,0.8304443303979759
801,Das nächste Mal werden meine Kommentare auf Russisch sein.,Наступного разу мої коментарі будуть російською.,Das nächste Mal werden meine Kommentare auf Russisch sein.,1.0,0.8304443303979759
802,Das Nashorn ist sehr groß.,Носоріг дуже великий.,Das Nashorn ist sehr groß.,1.0,0.8304443303979759
803,Das neue System hat sich als erfolgreich erwiesen.,Нова система виявилась успішною.,Das neue System hat sich als erfolgreich erwiesen.,1.0,0.8304443303979759
804,Das Paar ist gestorben.,Пара померла.,Das Paar ist gestorben.,1.0,0.8304443303979759
805,Das Papier wurde in China erfunden.,Папір було винайдено в Китаї.,Das Papier wurde in China erfunden.,1.0,0.8304443303979759
806,Das passiert ab und an.,Таке іноді трапляється.,Das passiert ab und an.,1.0,0.8304443303979759
807,Das passiert vielleicht nicht.,Цього може не трапитися.,Das passiert vielleicht nicht.,1.0,0.8304443303979759
808,"Das Passwort ist ""Muiriel"".","Пароль - ""Muiriel"".","Das Passwort ist ""Muiriel"".",1.0,0.8304443303979759
809,Das Pferd hat Durst.,Кінь хоче пити.,Das Pferd hat Durst.,1.0,0.8304443303979759
810,Das Prinzip „Auge um Auge“ macht die ganze Welt blind.,Око за око - і весь світ стане сліпим.,Das Prinzip Auge um Auge macht die ganze Welt blind.,0.47269442068339784,0.8304443303979759
811,"Das Problem ist, dass Sonnenenergie zu teuer ist.","Проблема в тому, що сонячна енергія занадто дорога.","Das Problem ist, dass Sonnenenergie zu teuer ist.",1.0,0.8304443303979759
812,Das Radio ist ausgeschaltet.,Радіо вимкнене.,Das Radio ist ausgeschaltet.,1.0,0.8304443303979759
813,Das Radio ist defekt.,Радіо зламалося.,Das Radio ist defekt.,1.0,0.8304443303979759
814,Das Radio ist kaputt.,Радіо зламалося.,Das Radio ist kaputt.,1.0,0.8304443303979759
815,Das riecht aber seltsam.,Але це дивно пахне.,Das riecht aber seltsam.,1.0,0.8304443303979759
816,Das Rindfleisch ist zart.,Ця яловичина ніжна.,Das Rindfleisch ist zart.,1.0,0.8304443303979759
817,Das sagt man nicht mehr.,Так уже не кажуть.,Das sagt man nicht mehr.,1.0,0.8304443303979759
818,Das scheinen keine Amerikaner zu sein.,"Вони, здається, не американці.",Das scheinen keine Amerikaner zu sein.,1.0,0.8304443303979759
819,"Das scheint dir gerecht zu sein, oder?","Тобі здається, що це справедливо, так?","Das scheint dir gerecht zu sein, oder?",1.0,0.8304443303979759
820,Das Schicksal kannst du nicht überlisten.,Долю не обдуриш.,Das Schicksal kannst du nicht überlisten.,1.0,0.8304443303979759
821,Das Schiff ist jetzt im Hafen.,Корабель зараз у порту.,Das Schiff ist jetzt im Hafen.,1.0,0.8304443303979759
822,Das Schiff transportiert Rohstoffe aus Indonesien.,Корабель перевозить сировину з Індонезії.,Das Schiff транспоніер Rohstoffe aus Indonesien.,7.262123179505913e-78,0.8304443303979759
823,Das Schlimmste ist überstanden.,Найгірше вже позаду.,Das Schlimmste ist überstanden.,1.0,0.8304443303979759
824,Das Schloss ist schön.,Замок прекрасний.,Das Schloss ist schön.,1.0,0.8304443303979759
825,Das schmeckt gut.,Смачно.,Das schmeckt gut.,1.2213386697554703e-77,0.8304443303979759
826,Das sind Alkoholiker.,Вони алкоголіки.,Das sind Alkoholiker.,1.2213386697554703e-77,0.8304443303979759
827,"Das sind die teuersten Schuhe, die ich je gesehen habe.","Це найдорожчі туфлі, які я коли-небудь бачила.","Das sind die teuersten Schuhe, die ich ich gesehen habe.",0.7071067811865475,0.8304443303979759
828,Das sind Dummköpfe.,Вони дурні.,Das sind Dummköpfe.,1.2213386697554703e-77,0.8304443303979759
829,Das sind Dummköpfe.,Вони ідіоти.,Das sind Dummköpfe.,1.2213386697554703e-77,0.8304443303979759
830,Das sind Geschenke für meine Freunde.,Це подарунки для моїх друзів.,Das sind Geschenke für meine Freunde.,1.0,0.8304443303979759
831,Das sind Geschenke.,Це подарунки.,Das sind Geschenke.,1.2213386697554703e-77,0.8304443303979759
832,Das sind gute Neuigkeiten.,Це добрі новини.,Das sind gute Neuigkeiten.,1.0,0.8304443303979759
833,Das sind meine Brüder.,Це мої брати.,Das sind meine Brüder.,1.0,0.8304443303979759
834,Das sind meine CDs.,Це мої диски.,Das sind meine CDs.,1.0,0.8304443303979759
835,Das sind meine Geschwister.,Це мої брати й сестри.,Das sind meine Geschwister.,1.0,0.8304443303979759
836,Das sind meine Sachen.,Це мої речі.,Das sind meine Sachen.,1.0,0.8304443303979759
837,Das sind nicht meine Bücher.,Це не мої книги.,Das sind nicht meine Bücher.,1.0,0.8304443303979759
838,Das sind Spione.,Вони шпигуни.,Das sind Spione.,1.2213386697554703e-77,0.8304443303979759
839,Das sind Vegetarier.,Вони вегетаріанці.,Das sind Vegetarier.,1.2213386697554703e-77,0.8304443303979759
840,Das sind Vögel.,Це птахи.,Das sind Vögel.,1.2213386697554703e-77,0.8304443303979759
841,Das Spiel fängt morgen Nachmittag um zwei an.,Гра розпочинається завтра вдень о другій годині.,Das Spiel fängt morgen Nachmittag um zwei an.,1.0,0.8304443303979759
842,Das stimmt nicht.,Це невірно.,Das stimmt nicht.,1.2213386697554703e-77,0.8304443303979759
843,Das stimmt!,Правильно!,Das stimmt!,1.491668146240062e-154,0.8304443303979759
844,Das stimmt.,Саме так.,Das stimmt.,1.491668146240062e-154,0.8304443303979759
845,Das stimmt.,Так.,Das stimmt.,1.491668146240062e-154,0.8304443303979759
846,Das Symbol ' &amp; ' steht für 'und'.,"Символ "" &amp; "" ставиться замість ""і"".",Das Symbol'&amp;'steht für 'und'.,0.5954165059120786,0.8304443303979759
847,Das Symbol '&' steht für 'und'.,"Символ ""&"" означає ""і"".",Das Symbol '&' steht für 'und'.,1.0,0.8304443303979759
848,Das Symbol '&' steht für 'und'.,"Символ ""&"" ставиться замість ""і"".",Das Symbol '&' steht für 'und'.,1.0,0.8304443303979759
849,Das Taxi holte zwei Fahrgäste ab.,Таксі підібрало двох пасажирів.,Das Taxi holte zwei Fahrgäste ab.,1.0,0.8304443303979759
850,Da steht eine Blume auf dem Tisch.,На столі квітка.,Da steht eine Blume auf dem Tisch.,1.0,0.8304443303979759
851,Das Telefon funktioniert im Moment nicht.,Наразі телефон не працює.,Das Telefon funktioniert im Moment nicht.,1.0,0.8304443303979759
852,Das Telefon funktioniert nicht.,Телефон не працює.,Das Telefon funktioniert nicht.,1.0,0.8304443303979759
853,Das Telefon ist außer Betrieb.,Телефон не працює.,Das Telefon ist außer Betrieb.,1.0,0.8304443303979759
854,Das Telefon ist rot.,Телефон червоний.,Das Telefon ist rot.,1.0,0.8304443303979759
855,Das Treffen fand hier statt.,Зустріч була тут.,Das Treffen fand hier statt.,1.0,0.8304443303979759
856,Das Treffen fand hier statt.,Зустріч відбувалася тут.,Das Treffen fand hier statt.,1.0,0.8304443303979759
857,Das Treffen ist in zehn Tagen.,Зустріч буде за десять днів.,Das Treffen ist in zehn Tagen.,1.0,0.8304443303979759
858,Das tut mir wirklich leid!,Мені дійсно шкода!,Das tut mir wirklich leid!,1.0,0.8304443303979759
859,Das Undenkbare ist passiert.,Трапилося щось неймовірне.,Das Undenkbare ist passiert.,1.0,0.8304443303979759
860,Das Undenkbare ist passiert.,Трапилося щось немислиме.,Das Undenkbare ist passiert.,1.0,0.8304443303979759
861,Das Universum ist grenzenlos.,Всесвіт безмежний.,Das Universum ist grenzenlos.,1.0,0.8304443303979759
862,Das Universum ist unendlich.,Всесвіт безмежний.,Das Universum ist unendlich.,1.0,0.8304443303979759
863,Das Unternehmen war von Anfang an ein Reinfall.,Цей проект з самого початку був помилкою.,Das Unternehmen war von Anfang an ein Reinfall.,1.0,0.8304443303979759
864,Das Video ist langweilig.,Це відео нудне.,Das Video ist langweilig.,1.0,0.8304443303979759
865,Das war deine Entscheidung.,Це був твій вибір.,Das war deine Entscheidung.,1.0,0.8304443303979759
866,Das wäre ein Fehler.,Це було б помилкою.,Das wäre ein Fehler.,1.0,0.8304443303979759
867,Das war ein böser Hase.,Це був злий заєць.,Das war ein böser Hase.,1.0,0.8304443303979759
868,Das war eine bescheuerte Idee.,Це була ідіотьска ідея.,Das war eine bescheuerte Idee.,1.0,0.8304443303979759
869,Das war eine kluge Entscheidung.,Це було мудре рішення.,Das war eine kluge Entscheidung.,1.0,0.8304443303979759
870,Das war eine Lüge.,Це була брехня.,Das war eine Lüge.,1.0,0.8304443303979759
871,Das war ein Fehler.,Це була помилка.,Das war ein Fehler.,1.0,0.8304443303979759
872,"Das wäre zu cool, wenn ich zehn Sprachen sprechen könnte!","Було б так круто, якби я розмовляв десятьма мовами!","Das wäre zu cool, wenn ich zehn Sprachen sprechen könnte!",1.0,0.8304443303979759
873,Das war genug.,Цього було достатньо.,Das war genug.,1.2213386697554703e-77,0.8304443303979759
874,Das war gut geschrieben.,Це було добре написано.,Das war gut geschrieben.,1.0,0.8304443303979759
875,Das war immer so.,Так було завжди.,Das war immer so.,1.0,0.8304443303979759
876,Das war immer so.,Так завжди було.,Das war immer so.,1.0,0.8304443303979759
877,Das war kein Fehler.,Це не було помилкою.,Das war kein Fehler.,1.0,0.8304443303979759
878,Das war nicht meine Idee.,Це була не моя ідея.,Das war nicht meine Idee.,1.0,0.8304443303979759
879,Das war sicher nicht mit Absicht.,"Я впевнена, що це було ненавмисно.",Das war sicher nicht mit Absicht.,1.0,0.8304443303979759
880,Das war sicher nicht mit Absicht.,"Я певен, що це було ненавмисно.",Das war sicher nicht mit Absicht.,1.0,0.8304443303979759
881,Das war unser Geheimnis.,Це був наш секрет.,Das war unser Geheimnis.,1.0,0.8304443303979759
882,Das war unvermeidlich.,Це було неминуче.,Das war unvermeidlich.,1.2213386697554703e-77,0.8304443303979759
883,Das Wasser im Brunnen war eisig.,Вода в криниці була крижана.,Das Wasser im Brunnen war eisig.,1.0,0.8304443303979759
884,Das Wasser im Brunnen war eiskalt.,Вода в криниці була крижана.,Das Wasser im Brunnen war eiskalt.,1.0,0.8304443303979759
885,Das Wasser ist gut.,Вода добра.,Das Wasser ist gut.,1.0,0.8304443303979759
886,Das Wasser ist herrlich!,Вода чудова!,Das Wasser ist herrlich!,1.0,0.8304443303979759
887,Das Wasser ist nicht kalt.,Вода не холодна.,Das Wasser ist nicht kalt.,1.0,0.8304443303979759
888,Das Wasser ist nicht trinkbar.,Ця вода непридатна для пиття.,Das Wasser ist nicht trinkbar.,1.0,0.8304443303979759
889,Das Wasser ist sauber.,Вода чиста.,Das Wasser ist sauber.,1.0,0.8304443303979759
890,Das Wasser ist warm.,Вода тепла.,Das Wasser ist warm.,1.0,0.8304443303979759
891,Das Wasser schmeckt gut.,Вода добре смакує.,Das Wasser schmeckt gut.,1.0,0.8304443303979759
892,Das Wasser war blau.,Вода була блакитна.,Das Wasser war blau.,1.0,0.8304443303979759
893,Das weiß ich bereits.,Я вже це знаю.,Das weiß ich bereits.,1.0,0.8304443303979759
894,Das weiß ich nicht.,Я цього не знаю.,Das weiß ich nicht.,1.0,0.8304443303979759
895,Das weiß ich schon.,Я вже знаю.,Das weiß ich schon.,1.0,0.8304443303979759
896,Das weiß ich schon.,Я вже це знаю.,Das weiß ich schon.,1.0,0.8304443303979759
897,Das weißt du doch.,Ти вже це знаєш.,Das weißt du doch.,1.0,0.8304443303979759
898,Das weißt du ja.,Ти вже це знаєш.,Das weißt du ja.,1.0,0.8304443303979759
899,Das Wetter ist heute wunderbar.,Погода сьогодні чудова.,Das Wetter ist heute wunderbar.,1.0,0.8304443303979759
900,Das Wetter war windstill.,Погода була безвітряна.,Das Wetter war windstill.,1.0,0.8304443303979759
901,Das wird dreißig Euro kosten.,Це коштуватиме 30 євро.,Das wird dreißig Euro kosten.,1.0,0.8304443303979759
902,Das wird einfach.,Це буде легко.,Das wird einfach.,1.2213386697554703e-77,0.8304443303979759
903,Das wird komisch sein.,Це буде весело.,Das wird komisch sein.,1.0,0.8304443303979759
904,Das wird leicht sein.,Це буде легко.,Das wird leicht sein.,1.0,0.8304443303979759
905,Das wird lustig sein.,Це буде весело.,Das wird lustig sein.,1.0,0.8304443303979759
906,Das wird mein letzter Satz in Englisch sein.,Це буде моє останнє речення англійською.,Das wird mein letzter Satz in Englisch sein.,1.0,0.8304443303979759
