Unnamed: 0,de,uk,TRANSLATION,chrf_score
807,Das passiert vielleicht nicht.,Цього може не трапитися.,Das passiert vielleicht nicht.,100.0
808,"Das Passwort ist ""Muiriel"".","Пароль - ""Muiriel"".","Das Passwort ist ""Muiriel"".",100.0
809,Das Pferd hat Durst.,Кінь хоче пити.,Das Pferd hat Durst.,100.0
810,Das Prinzip „Auge um Auge“ macht die ganze Welt blind.,Око за око - і весь світ стане сліпим.,Das Prinzip Auge um Auge macht die ganze Welt blind.,83.56748603907212
811,"Das Problem ist, dass Sonnenenergie zu teuer ist.","Проблема в тому, що сонячна енергія занадто дорога.","Das Problem ist, dass Sonnenenergie zu teuer ist.",100.0
812,Das Radio ist ausgeschaltet.,Радіо вимкнене.,Das Radio ist ausgeschaltet.,100.0
813,Das Radio ist defekt.,Радіо зламалося.,Das Radio ist defekt.,100.0
814,Das Radio ist kaputt.,Радіо зламалося.,Das Radio ist kaputt.,100.0
815,Das riecht aber seltsam.,Але це дивно пахне.,Das riecht aber seltsam.,100.0
816,Das Rindfleisch ist zart.,Ця яловичина ніжна.,Das Rindfleisch ist zart.,100.0
817,Das sagt man nicht mehr.,Так уже не кажуть.,Das sagt man nicht mehr.,100.0
818,Das scheinen keine Amerikaner zu sein.,"Вони, здається, не американці.",Das scheinen keine Amerikaner zu sein.,100.0
819,"Das scheint dir gerecht zu sein, oder?","Тобі здається, що це справедливо, так?","Das scheint dir gerecht zu sein, oder?",100.0
820,Das Schicksal kannst du nicht überlisten.,Долю не обдуриш.,Das Schicksal kannst du nicht überlisten.,100.0
821,Das Schiff ist jetzt im Hafen.,Корабель зараз у порту.,Das Schiff ist jetzt im Hafen.,100.0
822,Das Schiff transportiert Rohstoffe aus Indonesien.,Корабель перевозить сировину з Індонезії.,Das Schiff транспоніер Rohstoffe aus Indonesien.,63.02357356526031
823,Das Schlimmste ist überstanden.,Найгірше вже позаду.,Das Schlimmste ist überstanden.,100.0
824,Das Schloss ist schön.,Замок прекрасний.,Das Schloss ist schön.,100.0
825,Das schmeckt gut.,Смачно.,Das schmeckt gut.,100.0
826,Das sind Alkoholiker.,Вони алкоголіки.,Das sind Alkoholiker.,100.0
827,"Das sind die teuersten Schuhe, die ich je gesehen habe.","Це найдорожчі туфлі, які я коли-небудь бачила.","Das sind die teuersten Schuhe, die ich ich gesehen habe.",88.54184991031961
828,Das sind Dummköpfe.,Вони дурні.,Das sind Dummköpfe.,100.0
829,Das sind Dummköpfe.,Вони ідіоти.,Das sind Dummköpfe.,100.0
830,Das sind Geschenke für meine Freunde.,Це подарунки для моїх друзів.,Das sind Geschenke für meine Freunde.,100.0
831,Das sind Geschenke.,Це подарунки.,Das sind Geschenke.,100.0
832,Das sind gute Neuigkeiten.,Це добрі новини.,Das sind gute Neuigkeiten.,100.0
833,Das sind meine Brüder.,Це мої брати.,Das sind meine Brüder.,100.0
834,Das sind meine CDs.,Це мої диски.,Das sind meine CDs.,100.0
835,Das sind meine Geschwister.,Це мої брати й сестри.,Das sind meine Geschwister.,100.0
836,Das sind meine Sachen.,Це мої речі.,Das sind meine Sachen.,100.0
837,Das sind nicht meine Bücher.,Це не мої книги.,Das sind nicht meine Bücher.,100.0
838,Das sind Spione.,Вони шпигуни.,Das sind Spione.,100.0
839,Das sind Vegetarier.,Вони вегетаріанці.,Das sind Vegetarier.,100.0
840,Das sind Vögel.,Це птахи.,Das sind Vögel.,100.0
841,Das Spiel fängt morgen Nachmittag um zwei an.,Гра розпочинається завтра вдень о другій годині.,Das Spiel fängt morgen Nachmittag um zwei an.,100.0
842,Das stimmt nicht.,Це невірно.,Das stimmt nicht.,100.0
843,Das stimmt!,Правильно!,Das stimmt!,100.0
844,Das stimmt.,Саме так.,Das stimmt.,100.0
845,Das stimmt.,Так.,Das stimmt.,100.0
846,Das Symbol ' &amp; ' steht für 'und'.,"Символ "" &amp; "" ставиться замість ""і"".",Das Symbol'&amp;'steht für 'und'.,100.0
847,Das Symbol '&' steht für 'und'.,"Символ ""&"" означає ""і"".",Das Symbol '&' steht für 'und'.,100.0
848,Das Symbol '&' steht für 'und'.,"Символ ""&"" ставиться замість ""і"".",Das Symbol '&' steht für 'und'.,100.0
849,Das Taxi holte zwei Fahrgäste ab.,Таксі підібрало двох пасажирів.,Das Taxi holte zwei Fahrgäste ab.,100.0
850,Da steht eine Blume auf dem Tisch.,На столі квітка.,Da steht eine Blume auf dem Tisch.,100.0
851,Das Telefon funktioniert im Moment nicht.,Наразі телефон не працює.,Das Telefon funktioniert im Moment nicht.,100.0
852,Das Telefon funktioniert nicht.,Телефон не працює.,Das Telefon funktioniert nicht.,100.0
853,Das Telefon ist außer Betrieb.,Телефон не працює.,Das Telefon ist außer Betrieb.,100.0
854,Das Telefon ist rot.,Телефон червоний.,Das Telefon ist rot.,100.0
855,Das Treffen fand hier statt.,Зустріч була тут.,Das Treffen fand hier statt.,100.0
856,Das Treffen fand hier statt.,Зустріч відбувалася тут.,Das Treffen fand hier statt.,100.0
857,Das Treffen ist in zehn Tagen.,Зустріч буде за десять днів.,Das Treffen ist in zehn Tagen.,100.0
858,Das tut mir wirklich leid!,Мені дійсно шкода!,Das tut mir wirklich leid!,100.0
859,Das Undenkbare ist passiert.,Трапилося щось неймовірне.,Das Undenkbare ist passiert.,100.0
860,Das Undenkbare ist passiert.,Трапилося щось немислиме.,Das Undenkbare ist passiert.,100.0
861,Das Universum ist grenzenlos.,Всесвіт безмежний.,Das Universum ist grenzenlos.,100.0
862,Das Universum ist unendlich.,Всесвіт безмежний.,Das Universum ist unendlich.,100.0
863,Das Unternehmen war von Anfang an ein Reinfall.,Цей проект з самого початку був помилкою.,Das Unternehmen war von Anfang an ein Reinfall.,100.0
864,Das Video ist langweilig.,Це відео нудне.,Das Video ist langweilig.,100.0
865,Das war deine Entscheidung.,Це був твій вибір.,Das war deine Entscheidung.,100.0
866,Das wäre ein Fehler.,Це було б помилкою.,Das wäre ein Fehler.,100.0
867,Das war ein böser Hase.,Це був злий заєць.,Das war ein böser Hase.,100.0
868,Das war eine bescheuerte Idee.,Це була ідіотьска ідея.,Das war eine bescheuerte Idee.,100.0
869,Das war eine kluge Entscheidung.,Це було мудре рішення.,Das war eine kluge Entscheidung.,100.0
870,Das war eine Lüge.,Це була брехня.,Das war eine Lüge.,100.0
871,Das war ein Fehler.,Це була помилка.,Das war ein Fehler.,100.0
872,"Das wäre zu cool, wenn ich zehn Sprachen sprechen könnte!","Було б так круто, якби я розмовляв десятьма мовами!","Das wäre zu cool, wenn ich zehn Sprachen sprechen könnte!",100.0
873,Das war genug.,Цього було достатньо.,Das war genug.,100.0
874,Das war gut geschrieben.,Це було добре написано.,Das war gut geschrieben.,100.0
875,Das war immer so.,Так було завжди.,Das war immer so.,100.0
876,Das war immer so.,Так завжди було.,Das war immer so.,100.0
877,Das war kein Fehler.,Це не було помилкою.,Das war kein Fehler.,100.0
878,Das war nicht meine Idee.,Це була не моя ідея.,Das war nicht meine Idee.,100.0
879,Das war sicher nicht mit Absicht.,"Я впевнена, що це було ненавмисно.",Das war sicher nicht mit Absicht.,100.0
880,Das war sicher nicht mit Absicht.,"Я певен, що це було ненавмисно.",Das war sicher nicht mit Absicht.,100.0
881,Das war unser Geheimnis.,Це був наш секрет.,Das war unser Geheimnis.,100.0
882,Das war unvermeidlich.,Це було неминуче.,Das war unvermeidlich.,100.0
883,Das Wasser im Brunnen war eisig.,Вода в криниці була крижана.,Das Wasser im Brunnen war eisig.,100.0
884,Das Wasser im Brunnen war eiskalt.,Вода в криниці була крижана.,Das Wasser im Brunnen war eiskalt.,100.0
885,Das Wasser ist gut.,Вода добра.,Das Wasser ist gut.,100.0
886,Das Wasser ist herrlich!,Вода чудова!,Das Wasser ist herrlich!,100.0
887,Das Wasser ist nicht kalt.,Вода не холодна.,Das Wasser ist nicht kalt.,100.0
888,Das Wasser ist nicht trinkbar.,Ця вода непридатна для пиття.,Das Wasser ist nicht trinkbar.,100.0
889,Das Wasser ist sauber.,Вода чиста.,Das Wasser ist sauber.,100.0
890,Das Wasser ist warm.,Вода тепла.,Das Wasser ist warm.,100.0
891,Das Wasser schmeckt gut.,Вода добре смакує.,Das Wasser schmeckt gut.,100.0
892,Das Wasser war blau.,Вода була блакитна.,Das Wasser war blau.,100.0
893,Das weiß ich bereits.,Я вже це знаю.,Das weiß ich bereits.,100.0
894,Das weiß ich nicht.,Я цього не знаю.,Das weiß ich nicht.,100.0
895,Das weiß ich schon.,Я вже знаю.,Das weiß ich schon.,100.0
896,Das weiß ich schon.,Я вже це знаю.,Das weiß ich schon.,100.0
897,Das weißt du doch.,Ти вже це знаєш.,Das weißt du doch.,100.0
898,Das weißt du ja.,Ти вже це знаєш.,Das weißt du ja.,100.0
899,Das Wetter ist heute wunderbar.,Погода сьогодні чудова.,Das Wetter ist heute wunderbar.,100.0
900,Das Wetter war windstill.,Погода була безвітряна.,Das Wetter war windstill.,100.0
901,Das wird dreißig Euro kosten.,Це коштуватиме 30 євро.,Das wird dreißig Euro kosten.,100.0
902,Das wird einfach.,Це буде легко.,Das wird einfach.,100.0
903,Das wird komisch sein.,Це буде весело.,Das wird komisch sein.,100.0
904,Das wird leicht sein.,Це буде легко.,Das wird leicht sein.,100.0
905,Das wird lustig sein.,Це буде весело.,Das wird lustig sein.,100.0
906,Das wird mein letzter Satz in Englisch sein.,Це буде моє останнє речення англійською.,Das wird mein letzter Satz in Englisch sein.,100.0
907,Das wird nicht allzu schwierig sein.,Це буде не так вже й складно.,Das wird nicht allzu schwierig sein.,100.0
908,Das wird nicht funktionieren.,Це не спрацює.,Das wird nicht funktionieren.,100.0
909,Das wird nicht klappen.,Це не спрацює.,Das wird nicht klappen.,100.0
910,Das wird nicht noch einmal passieren.,Цього більше не трапиться.,Das wird nicht einmal passieren.,78.96209189883055
911,Das wird nicht passieren.,Це не станеться.,Das wird nicht passieren.,100.0
912,Das wird sich ereignen.,Це трапиться.,Das wird sich ereignen.,100.0
913,Das wird Tom nicht gefallen.,Тому це не сподобається.,Das wird Tom nicht gefallen.,100.0
914,Das wisst ihr doch.,Ви вже це знаєте.,Das wisst ihr doch.,100.0
915,Das wisst ihr ja.,Ви вже це знаєте.,Das wisst ihr ja.,100.0
916,Das wollte ich nicht.,Я не хотів цього.,Das wollte ich nicht.,100.0
917,Das Wörterbuch enthält ungefähr eine halbe Million Wörter.,У цьому словнику приблизно півмільйона слів.,Das Wörterbuch enthält ungefähr eine halbe Million Wörter.,100.0
918,Das Wörterbuch hier gehört mir.,Цей словник мій.,Das Wörterbuch hier gehört mir.,100.0
919,Das Wort wird nicht mehr benutzt.,Це слово більше не використовується.,Das Wort wird nicht mehr benutzt.,100.0
920,Das wusste ich nicht.,Я цього не знала.,Das wusste ich nicht.,100.0
921,Das Zimmer hat zwei Fenster.,Ця кімната має два вікна.,Das Zimmer hat zwei Fenster.,100.0
922,Das Zimmer ist leer.,Кімната пуста.,Das Zimmer ist leer.,100.0
923,Das Zimmer war abgeschlossen.,Кімната була замкнена.,Das Zimmer war abgeschlossen.,100.0
924,Das Zimmer wird morgen angestrichen.,Кімнату завтра пофарбують.,Das Zimmer wird morgen angestrichen.,100.0
925,Das Zusehen schmerzte.,На це було боляче дивитися.,Das Zusehen schmerzte.,100.0
926,Das zweite Semester hat geendet.,Закінчився другий семестр.,Das zweite Semester hat geendet.,100.0
927,David ist zu Hause.,Давид вдома.,David ist zu Hause.,100.0
928,Davon könnt ihr nur träumen.,Вам про це тільки мріяти.,Davon könnt ihr nur träumen.,100.0
929,Da war niemand im Garten.,У саду нікого не було.,Da war niemand im Garten.,100.0
930,Dazu bin ich zu alt.,Я для цього занадто стара.,Dazu bin ich zu alt.,100.0
931,"Dein Bruder hat geheiratet, oder?","Твій брат одружився, чи не так?","Dein Bruder hat geheiratet, oder?",100.0
932,Deine Antwort ist falsch.,Твоя відповідь невірна.,Deine Antwort ist falsch.,100.0
933,Deine Frisur gefällt mir nicht.,Мені не подобається твоя зачіска.,Deine Frisur gefällt mir nicht.,100.0
934,Deine Haare sind nicht einmal nass.,Твоє волосся навіть не мокре.,Deine Haare sind nicht einmal nass.,100.0
935,Deine Haare sind zu lang.,Твоє волосся задовге.,Deine Haare sind zu lang.,100.0
936,Deine Ideen sind ziemlich altmodisch.,Твої ідеї досить старомодні.,Deine Ideen sind ziemlich altmodisch.,100.0
937,Deine Krawatte sitzt schief.,У тебе перекосилася краватка.,Деine Krawatte sitzt schief.,90.6383300147602
938,Deine Mannschaft ist stärker als unsere.,Твоя команда сильніша від нашої.,Deine Mannschaft ist stärker als unsere.,100.0
939,Deine Mannschaft ist stärker als unsere.,"Твоя команда сильніша, ніж наша.",Deine Mannschaft ist stärker als unsere.,100.0
940,Deine Meinung interessiert mich nicht.,Мене не цікавить ваша думка.,Deine Meinung interessiert mich nicht.,100.0
941,Deine Meinung ist sehr konstruktiv.,Твоя думка дуже конструктивна.,Deine Meinung ist sehr konstruktiv.,100.0
942,Deine Mutter ist ein Computer.,Твоя мати - комп'ютер.,Deine Mutter ist ein Computer.,100.0
943,Deine Mutter wird mich umbringen.,Твоя мама мене вб'є.,Deine Mutter wird mich umbringen.,100.0
944,Dein Englisch ist perfekt.,У тебе досконала англійська.,Dein Englisch ist perfekt.,100.0
945,Dein Erfolg ist das Ergebnis deiner harten Arbeit.,Твій успіх - результат твоєї важкої праці.,Dein Erfolg ist das Ergebnis deiner harten Arbeit.,100.0
946,Dein Französisch ist perfekt.,У тебе досконала французька.,Dein Französisch ist perfekt.,100.0
947,Dein Französisch ist schon viel besser geworden.,Твоя французька стала набагато краща.,Dein Französisch ist schon viel besser geworden.,100.0
948,Dein Freund ist hier.,Твій друг тут.,Dein Freund ist hier.,100.0
949,Dein Führerschein ist abgelaufen.,Твої водійські права прострочені.,Dein Führerschein ist abgelaufen.,100.0
950,Dein Geld brauch ich nicht. Ich brauche deine Zeit.,Мені не потрібні твої гроші. Мені потрібен твій час.,Dein Geld brauch ich nicht. Ich brauche deine Zeit.,100.0
951,Dein Haus ist fantastisch.,Твій будинок просто фантастичний.,Dein Haus ist fantastisch.,100.0
952,Dein Haus muss repariert werden.,Твій будинок потребує ремонту.,Dein Haus muss repariert werden.,100.0
953,Dein Hund biss mich in die Hand.,Твій собака вкусив мене за руку.,Dein Hund biss mich in die Hand.,100.0
954,Dein Hund hat mich in die Hand gebissen.,Твій собака вкусив мене за руку.,Dein Hund hat mich in die Hand gebissen.,100.0
955,Dein Kleid gefällt mir.,Мені подобається твоя сукня.,Dein Kleid gefällt mir.,100.0
956,Dein Kleid ist schon nicht mehr in Mode.,Твоє плаття вже вийшло з моди.,Dein Kleid ist schon nicht mehr in Mode.,100.0
957,Dein Reißverschluss ist offen.,У тебе розстебнута ширінька!,Dein Reißverschluss ist offen.,100.0
958,Dein Vorschlag gefällt mir.,Мені подобається твоя пропозиція.,Dein Vorschlag gefällt mir.,100.0
959,Dein Wort in Gottes Ohr!,Твої б слова та богу в вуха!,Dein Wort in Gottes Ohr!,100.0
960,Delfine und Wale sind keine Fische.,Детьфіни та кити не риби.,Delfine und Wale sind keine Fische.,100.0
961,"Dem nach zu urteilen, was sie sagt, ist er schuldig.","Судячи з того, що вона каже, він винний.","Dem nach zu urteilen, was sie sagt, ist er schuldig.",100.0
962,Den Apfel habe ich gegessen.,Я з'їв яблуко.,Den Apfel habe ich gegessen.,100.0
963,Den Film will ich noch einmal sehen.,Я хочу подивитися цей фільм ще раз.,Den Film will ich noch einmal sehen.,100.0
964,Denke an deine Zukunft!,Подумай про своє майбутнє.,Denke an deine Zukunft!,100.0
965,"Denke daran, dass du Staub bist.","Пам’ятай, що ти порох.","Denke daran, dass du Staub bist.",100.0
966,Denke darüber nach.,Поміркуй над цим.,Denke darüber nach.,100.0
967,"Denken Sie, Tom ist betrunken?","Гадаєте, Том п'яний?","Denken Sie, Tom ist betrunken?",100.0
968,Denke über deine Zukunft nach!,Подумай про своє майбутнє.,Denke über deine Zukunft nach!,100.0
969,Denk mal drüber nach.,"Подумай про це, будь ласка.",Denk mal drüber nach.,100.0
970,Denkst du auf Französisch?,Ти думаєш французькою?,Denkst du auf Französisch?,100.0
971,"Denkst du, dass ich meine Zeit vertue?","Гадаєш, я марную свій час?","Denkst du, dass ich meine Zeit vertue?",100.0
972,"Denkst du, Tom ist betrunken?","Гадаєш, Том п'яний?","Denkst ду, Tom ist betrunken?",78.29829019188287
973,"Denkt ihr, Tom ist betrunken?","Гадаєте, Том п'яний?","Denkt ihr, Tom ist betrunken?",100.0
974,Den Studenten gefällt es.,Студентам він подобається.,Den Studenten gefällt es.,100.0
975,Den Tapferen hilft das Glück.,Доля посміхається сміливим.,Den Tapferen hilft das Glück.,100.0
976,Der Affe fiel vom Baum.,Мавпа упала з дерева.,Der Affe fiel vom Baum.,100.0
977,Der alte Hund bellte.,Старий пес загавкав.,Der alte Hund bellte.,100.0
978,Der alte Mann gab ihr eine kleine Puppe.,Цей дідусь подарував їй маленьку ляльку.,Der alte Mann gab ihr eine kleine Puppe.,100.0
979,Der Alte schenkte ihr eine kleine Puppe.,Цей дідусь подарував їй маленьку ляльку.,Der Alte schenkte ihr eine kleine Puppe.,100.0
980,Der Anfang der Geschichte ist interessant.,Початок розповіді цікавий.,Der Anfang der Geschichte ist цікавий.,68.72234220667812
981,Der Antisemitismus ist der Sozialismus der dummen Kerle.,Антисемитизм - це соціалізм для дурнів.,Der Antisemitismus ist der Sozialismus der dummen Kerle.,100.0
982,Der Apfel fiel vom Baum.,Яблуко впало з дерева.,Der Apfel fiel vom Baum.,100.0
983,Der Apfel ist gelb.,Це яблуко жовте.,Der Apfel ist gelb.,100.0
984,Der Apfel ist gelb.,Яблуко жовте.,Der Apfel ist gelb.,100.0
985,Der Apfel ist noch nicht reif.,Яблуко ще не стигле.,Der Apfel ist noch nicht reif.,100.0
986,Der Apfel ist vom Baum gefallen.,Яблуко впало з дерева.,Der Apfel ist vom Baum gefallen.,100.0
987,Der Architekt adaptierte das Haus an die Bedürfnisse alter Menschen.,Архітектор пристосував будинок під потреби похилих людей.,Der Architekt adaptierte das Haus an die Bedürfnisse alter Menschen.,100.0
988,"Der Arzt riet ihm ihm, mit dem Rauchen aufzuhören.",Лікар порадив йому кинути палити.,"Der Arzt riet ihm ihm, mit dem Rauchen aufzuhören.",100.0
989,Der Aufzug funktioniert heute nicht.,Ліфт сьогодні не працює.,Der Aufzug funktioniert heute nicht.,100.0
990,Der Ausländer konnte überhaupt kein Japanisch.,Іноземець взагалі не знав японської.,Der Ausländer konnte überhaupt kein Japaneseisch.,92.11382509276233
991,Der Autor hat einen schönen Stil.,У автора гарний стиль.,Der Autor hat einen schönen Stil.,100.0
992,Der Bahnhof ist ganz in der Nähe des Hotels.,Станція знаходиться біля готелю.,Der Bahnhof ist ganz in der Nähe des Hotels.,100.0
993,Der Bär frisst einen Apfel.,Ведмідь їсть яблуко.,Der Bär frisst einen Apfel.,100.0
994,Der Bär hat einen kurzen Schwanz.,У ведмедя короткий хвіст.,Der Bär hat einen kurzen Schwanz.,100.0
995,Der Baum ist grün.,Дерево зелене.,Der Baum ist grün.,100.0
996,Der Beamer funktioniert nicht.,Проектор не працює.,Der Beamer funktioniert nicht.,100.0
997,Der Beamer geht nicht.,Проектор не працює.,Der Beamer geht nicht.,100.0
998,Der Berg ist mit Schnee bedeckt.,Гора вкрита снігом.,Der Berg ist mit Schnee bedeckt.,100.0
999,Der Bleistift ist schwarz.,Олівець чорний.,Der Bleistift ist schwarz.,100.0
