EN,UK
"When your mother and father were first divorced, your mom went to see a doctor like me, and he didn't help her.","Коли твої батьки розлучилися, мама відвела тебе до такого лікаря як я, але він не зміг допомогти."
"Let's hear it for Bullgoose Randall, back in action.",Чуєте Гусак Рендал знову в справі.
But how do you know?,Звідки ви знаєте?
"When you start & kcalc; for the first time, the calculator will only display buttons for basic arithmetic computations.",Під час першого запуску & kcalc; ви побачите у калькуляторі лише кнопки з основними арифметичними операціями.
I'm not.,Я не довіряю.
My name is Antoine.,Меня зовут Антуан.
I'm leaving.,Я ухожу.
"Now can you handle this, or do I need to?","Отже, ти впораєшся чи доведеться мені цим зайнятися?"
I don't know what to order.,"Не знаю, що замовити."
I'm not coming without him.,Я без нього не піду.
You're going to school tomorrow.,Завтра ти підеш до школи.
Didn't expect to see you here.,Не очікував зустріти тебе тут.
"No, we don't.","- Ні, не треба."
Help!,Допоможіть!
"You may write in any language you want. In Tatoeba, all languages are equal.",Писати можна на будь-якій мові. Усі мови на проекті Tatoeba рівні.
Mobile Number,Мобільний телефон
magnifier,збільшувач
"No, she wouldn't be.","Так, не як леді."
Are you sure you want to quit Konversation?,Ви справді бажаєте завершити роботу Konversation?
"We're ready, Steven.","Ми готові, Стівене."
Who's there?,Хто там?
"Toothless, come on.","Беззубику, ти що?"
Stomachache.,Живіт болить.
"Displays different 3D solids and some information about each. A new solid is chosen every few seconds. There are 75 uniform polyhedra, plus 5 infinite sets of prisms and antiprisms; including their duals brings the total to 160. http: / /en. wikipedia. org/ wiki/ Uniform_polyhedra Written by Dr. Zvi Har'El and Jamie Zawinski; 2004.","Відображає різні просторові тіла і деяку інформація про них. Зміна тіл відбувається кожні декілька секунд. Існує 75 рівнобічних поліедри, плюс 5 нескінченних наборів призм і антипризм; що разом з їхніми двійниками дає загалом 160. http: // en. wikipedia. org/ wiki/ Uniform_ polyhedra Автори д- р Zvi Har' El та Jamie Zawinski; 2004."
The dictionary is up to date.,Цей словник актуальний.
"Get inside, get them sitting down.",Заходьте всередину. Нехай всі сідають.
"If this is enabled, when dropping or moving objects on the slide the top left corner of the object will snap or move, to the nearest grid point.","Якщо буде позначено цей пункт, під час перетягування або пересування об’ єктів на слайді верхній лівий кут об’ єкта прилипатиме або пересуватиметься до найближчої точки сітки."
"You can also choose the method that & kde; uses to create an anti-alias look to your fonts, and how strongly it should be applied. If you are not familiar with the individual methods, you should leave this option alone.","Крім того, ви можете обрати метод, який & kde; використовуватиме для створення згладженого вигляду ваших шрифтів та силу його застосування. Якщо ви не дуже й знайомі з цими методами, краще не чіпайте цей параметр."
"When you cook something, the energy you use is ultimately electromagnetic energy.","Коли ви щось готуєте, енергія, яку ви використовуєте, зрештою є електромагнетичною."
So?,І що?
"It's not so much the fact that the Phantom Menace is downloaded 500 times, or 600 times etc.","Річ не стільки в тому факті, що ""Примарну загрозу"" викачали 500 разів, або 600 разів і так далі"
Network Search,Пошук у мережі
"Change the alarm's deferred time, or cancel the deferral",Змініть час відкладання нагадування або скасуйте відкладання@ title: group
"Barbie, don't tell him anything!","Барбі, нічого йому не кажи!"
"Oh,no,no,I couldn'T.","оу, ні, ні, я не можу."
God damn it!,А щоб тобі...
Show validity,Показати чинність
Page fifty eight.,П'ятдесят восьма сторінка.
Provides access to contacts stored in a single local file. Supports standard VCard files and other formats depending on available plugins.,"Надає доступ до контактів, які зберігаються у окремому локальному файлі. Підтримує стандартні файли VCard та файли у інших форматах, залежно від наявності відповідних додатків. Name"
"Just some water, please.","- Замовите що-небудь? - Тільки воду, будь ласка."
What would I know?,Звідкіля мені знати?
- They're gonna kill you right now!,Вони тебе вб'ють.
They wanted me to kill you.,"Вони хотіли, щоб я вбив тебе."
You'd probably love Northern Lights.,Тобі сподобається Північне Сяйво.
"Teacher or not, I know a spell when I see one.","Хогвортс, Могвортс! Я бачу, коли щось зачаровують."
- Who's he?,- Хто він?
You had your parents help you dodge the draft just like every other rich blowhard who makes a living off of American xenophobes.,"Твої батьки відмазали тебе, як інших багатих синочків, які заробляють на американських ксенофобах."
"Due to a limitation of the DOS file system, a label can only be at most 11 characters long. For simplification, & kfloppy; assumes that this limit is true for all file systems.","Через обмеження, які накладає файлова система DOS у мітці не повинно бути більше 11 символів. Для спрощення у & kfloppy; робиться припущення, що це обмеження діє для всіх файлових систем."
There is no more fucking scam.,"Усе, кінець тепер варіантам."
He fights for the people.,Він бореться за людей.
They have died defending it.,Вони віддавали своє життя за це!
"Look, I'm just gonna lay this out there, all right?","Дай-но я скажу це прямо та відверто, гаразд?"
See Alarm Message Window for how to acknowledge alarms.,"Прочитайте розділ Вікно повідомлення нагадування, щоб дізнатися як користуватися підтвердженням нагадування."
requested service not supported for this socket type,запитана служба не підтримується для вказаного типу сокету
In more ways than one.,В різному сенсі цього слова.
The thing is I'm just not sure I'm ready to be a stepfather.,"річ в тому, що я не впевнений що готовий стати вітчемом."
Thank you.,"Так, спасибі."
Auto brackets,Автоматичні дужки
The file is not a KPatience saved game.,Цей файл не є файлом збереженої гри KPatience.
Let's have a baby.,будем мати дитину.
"Gadu-Gadu is a chat system originating from Poland. At present, & kopete; supports basic chat functions.","Gadu- Gadu — це система балачки, яка походить з Польщі. В даний час & kopete; підтримує основні функції балачки."
Cough suppressant.,Біжи!
"capital and capital: the name of the capital of the division, & eg; Tirana.","capital і capital: назва столиці території, наприклад, Tirana."
- Dibs.,- Беру.
It's pretty cool the way they do that...,"Так круто, як він це зробив ..."
"The word ""philanthropist"" comes from the Greek.","Слово ""Благодійник"" походить з грецької."
Small wonder that he thinks so.,"Не дивно, що він так гадає."
Thief?,Злодій?
Let's end this right.,Давайте доведемо справу до кінця.
An unknown error happened.,Сталася невідома помилка.
It's hard to let go.,Важко одразу відійти.
The brave men didn't kill dragons.,Хоробрі люди не вбивали драконів
Could not load the selected Network Profile.,Не вдалось завантажити вибраний мережний профіль.
"Come on, let's get her looked at.","Ходімо, її варто оглянути."
The certificate has expired,Сертифікат застарівSSL error
"Never have visited the crypt, never.","Я ніколи не ходила до нього в крипту, ніколи."
Custom message-id suffix:,Власний суфікс ідентифікації повідомлення:
"You are destined to fight, even if it unpleasant to thee.",Ми приречені на боротьбу. Навіть коли ми її ненавидимо.
A rather unfair observation as we have also developed a keen interest in the brewing of ales and the smoking of pipe-weed.,"Це дуже несправедливе зауваження, бо ми є неабиякими броварями і полюбляємо посидіти з люлькою."
- You've taken the soldiers?,- Ви забрали солдатиків? - Яких ще солдатиків?
"Oh, by the way, Roy, your work on Project Iccarus was very good.","До речі, Рой, чудова робота над проектом ""Ікар""."
Using & kscd; in the & kde; Panel,Користування & kscd; на панелі & kde;
"$500,000 each.",- Кожному по п'ятсот тисяч.
"Eliminate a given player. If it is eliminated by another one, you will fall back to a Countries type of goal.","Знищити вказаного гравця. Якщо цього гравця буде знищено кимось іншим, ви повернетеся до типу мети Країни."
Select a configuration:,Виберіть налаштування:
I'm sorry.,Пробач.
- Come on.,-Давай.
Transition duration,Тривалість переходу
All we need's one vote.,Все що нам потрібне - один голос.
"- Yes. Yes, it does.","- Так-так, воно займає."
What happened?,Що там нагорі сталося?
We're all grown-ups here.,Ми всі дорослі тут.
Using proxy server: %1,Використовується сервер проксі:% 1
"So, how much do you need?","Ну, то скільки вам треба?"
- His what?,- Свій що?
"May your days be long and fruitful, and filled with hope.",Хай будуть ваші дні світлі і плідні та наповнені надією.
First Quarter Moon,Перша чверть місяця
I can't deny,Нічого заперечувати
Keep dreaming.,Мрій далі.
I don't even know who she is.,"Я навіть не знаю, хто вона така."
Default Capture Device Preference,Типовий вибір пристрою захоплення
"Never seen one up close before! So, what, they've wired him up to detonate?",Ніколи раніше не бачив таке зблизька!
- Do what I say!,"- Робіть, що я кажу!"
Hexagon,Шестикутник
"They're, like, better than those Amy's Breakfast Scramble Wraps my moms buy at Whole Foods.","Вони кращі, ніж ті сухі сніданки Емі, які купують мої мами в Хол Фудс."
Motion blur,Розмивання рухом
A woman.,Жінка.
Descendant,ЗахідAngle
Username for login,Ім’ я користувача для входу
Papa!,Степане! — Татку!
Preparing,Приготування
DateTime Functions,Функції дати і часуComment
The movements of this robot are awkward.,Рухи цього робота незграбні.
"I find that to be racist, don't you?","Я вважаю, що це расизм. А ви хіба ні?"
\\item[label] Hello!,\\ item[ мітка] Привіт!
- Hey.,- Доброго дня!
Allow the semicolon character (';') to be used as separator in the message composer.,"Дозволити використання символу крапки з комою (';'), як роздільника у редакторі повідомлень."
Gladys?,Гледіс?
Did you know Lewis Prothero was one of the richest men in the country before he was the Voice of London?,"Ви знали, що Льюїс Протеро був однією з найбагатших людей країни перш ніж став 'Голосом Лондону'?"
Let me help you.,- Я вам допоможу.
You picked me as the 14th man.,Ви взяли мене чотирнадцятим в похід.
Add Message Button,Додати кнопку повідомлення
You are crossposting to more than 12 newsgroups. Please remove all newsgroups in which your article is off-topic.,"Ви відсилаєте статтю в більш ніж до 12 груп новин. Вилучите всі групи новин, яких не стосується ця стаття."
Are you honestly asking me?,"- Тобі що, описати?"
"Impossible to get the API. Check your settings, especially the URL.","Неможливо отримати API. Перевірте ваші параметри, особливо адресу url."
Left Output Bin (Face Up),Лівий вивідний лоток (лицем вгору)
Yοu have nο idea whο I have breathing dοwn my neck.,"Ви поняття не маєте, хто стоїть у мене над душею."
Just look at them.,Только взгляни на них.
I didn't know she had children or grandchildren.,"У неї є діти, виходить, і навіть внуки."
Because of last night?,"Через те, що було вночі?"
Do not let your hearts be troubled.,Женіть турботу геть із серця.
Okay.,"І за 2 тижня, коли я почну тур у Медісон Сквер Гарден ми виконаємо її разом."
I'd kill them.,Я би їх вбив.
Can you imagine what kind of shit-show this one's gonna be?,"Чи можете ви собі уявити, наскільки буде вбоге шоу?"
"Quickselect Panel: is used to quickly select files, & eg; enter *. png and click on the ""Go"" button. The ""floppy"" button stores the current selection. The ""select group dialog"" is also available.","Панель швидкого пошуку: використовується для пришвидшення позначення файлів, наприклад, введіть *. png і натисніть кнопку Перейти. Кнопка з дискетою зберігатиме поточний вибір. Також можна отримати доступ до діалогового вікна вибору групи."
"I mean, look, wouldn't she make you laugh again?",Вона б змогла знову повернути усмішку на твоє обличчя.
This is the time I get.,"Це час, який у мене є."
They'll make the assessment.,Вони мають визначить.
Resizes selected rows to be the same size,"Змінити висоту вибраних рядків, щоб у всіх була однакова"
I do not think we want any more bloodshed.,Ще більше кровопролиття нам не треба.
Import vCard,Імпортувати vCard
It's not necessary.,- Я втягнув вас як ...
Uh-huh.,Ух...
"The Toolviews or Quick Info Trees (QIT;) allow you to navigate, open, and gather information in & quantaplus;. Its tabbed format presents you with the Files, Project, Templates, Document Structure, Scripts, Attribute, and Documentation Trees.","За допомогою переглядів інструментів або швидких інформаційних дерев (Quick Info Trees або & QIT;) ви можете здійснювати навігацію, відкривати і збирати відомості у & quantaplus;. У вкладках перегляду інструментів показано ієрархічні структури файлів, проекту, шаблонів, структури документа, скриптів, атрибутів і документації."
File List,Список файлів
Mr. Rivetti!,Містере Ріветті!
You're not trying.,Ви не стараєтесь.
"I was never scared before... but I'm scared now, Nick.","﻿Я не знаю, чому. ﻿У мене ніколи такого не було. ﻿Але зараз мені дійсно ﻿страшно, Ніку."
"So degenerate or not, I'll always miss him.","Гравець чи ні, я завжди буду за ним нудьгувати."
"If this isn't a good time, I could go to...","Якщо зараз не час, я міг би..."
My mother will make me a birthday cake.,Моя матуся зробить мені торт на день народження.
What about Po?,A що ж з За?
Inspector: See information about variables and functions when the program runs,Інспектор: Допомагає бачити інформацію про змінні та функції під час виконання програми
I'm on the balcony.,Я на балконі.
No.,Да ну.
- Minus 110.,- Мінус 110.
"p, li {white-space: pre-wrap;} The unit that gets used to measure altitude, lengths and distances (e. g. km, mi, ft).","p, li {white- space: pre- wrap;} Одиниця довжини, що використовуватиметься для вимірювання висоти, довжини та відстані (наприклад, км, милі, фути)."
"Scotland, Germany, France, even Iowa.","В Шотландії, Німеччині, Франції, навіть в Айові."
Queen Margaery has already atoned for her sins by bringing another into the true light of the Seven.,"Королева Марджері вже спокутували свої гріхи, привівши іншого в правдиве світло Семи."
Don't take advice from a man who threw his shoe at a crow.,що кидався капцем у ворону.
I was probably being too hard on her.,Я занадто на неї тиснула.
- Yeah! - Yes!,Да!
"The big question is, was it the four women who refer to themselves as Ghostbusters who actually thwarted the attack?","Головне питання у тому, хто ці чотири жінки, які називають себе мисливцями, які фактично відбили атаку?"
There's a camper there.,Там стоїть автокараван.
I presume it's to tell me my services are no longer required.,"Мабуть, щоб сказати, що мої послуги більше не потрібні."
The execution controller repeat is a lot like while. The difference is that repeat keeps repeating (looping) the code between the brackets for as many times as the given number.,"Регулятор виконання repeat дуже схожий на while. Різниця полягає у тому, що repeat повторює виконання команд (цикл) задану кількість разів."
the following permission,наступний дозвіл
- They're untenable.,— Вони непідйомні.
"Come, my old friend and kinsman.","Ну що ж, мій старий друже і родичу."
Go Back in the Document,Перехід Назад документом
"If anyone sees Matt, can you tell him he forgot his egg?","Якщо хтось побачить Мета, скажіть - він яйце забув."
- Can I come in?,- Можна мені увійти?
One of them is still alive.,Один з них і досі живий.
"""No, I'll live !""","""Ні, я буду жити!"""
"Guys, take him away.","Хлопці, візьміть його."
ROLES_OF_TRANSLATORS,Юрій Чорноіван yurchor@ ukr. net Переклад українською
She's talking to us.,Вона звертається до нас.
& First Page,Перша
Change Font,Змінити шрифт
Let me show you.,Давай я тобі все покажу.
Rectangle,Прямокутник
"How can you miss a game you've never played before, silly?",дурненька?
"Look, if effects are very differently... you don't get control a' that thing, you don't know when it's going to kick in, what it's gonna' do it to you!","Дивіться, якщо ефекти відрізнятимуться... ти не зможеш контролювати цю штуку, ти не знаєш, коли вона знову збереться увірватися. що вона зробить з тобою!"
Listen to the tunes.,Послухаємо записи.
You don't have any friends.,У тебе немає друзів.
Hey.,Ну.
"Please, sit down.",Прошу сідати.
I assure you...,Запевняю вас...
Because he's my friend.,Тому що він мій друг.
Add this date as an exception to the recurrence rules for this event or to-do.,Додати цю дату як виняток до правил повторення для цієї події чи завдання. @ action: button
"Well, there's me, and, uh- and now there's you.","Тут я, а тепер і ти."
"Device not ready, waiting.","Пристрій не готовий, очікування."
Reopened,Перевідкрита
View (F3),Огляд (F3)
We will fight for you to the last!,Плем'я Моро битиметься до кінця!
Bifur,Біфур
Allow Multiple Values,Дозволити декілька значень
"When they come get us, they're gonna need eyes, too.","Коли вони приходять до нас дістатися, вони збираються потрібні очі, теж."
Sierra Leone,Сьєрра- ЛеонеName
It's really cool.,вона дійсно класна.
That's what I want.,І я цього доб'юся.
Ship very good.,На кораблі набагато краще.
The pupils stand up when their teacher enters.,Учні встають коли заходить вчитель.
Why are you still here?,Чому ти досі тут?
"It's been six days Yeah, I th... since the invisible barrier arrived over Chester's Mill.","Минуло вже 6 днів Так, я га... з тих пір, як невидимий бар'єр опустився на Честер Мілл."
"600x600dpi, iron-on transfer sheets, normal quality","600x600 т/ д, трафарет для футболок, звичайна якість"
This is your final warning!,Це моє останнє попередження.
"Can I see some identification, please?",Можна ваші документи?
Ignore them.,Забий на них.
Maybe he's just a kid who likes to climb trees a lot.,"Може він просто хлопчак, що що любить лазити по деревах."
I am advising the king on our current predicament.,"Я даю пораду королеві, стосовно нинішнього становища."
The Japanese were insulted.,Японці були ображені.
And I bet you will.,"Закладаюся, що помандруєте."
Me.,Для меня.
How many troops do we have left?,Скільки солдатів у нас залишилося?
Wanna come?,Поїдеш з нами?
Attention!,"Увага, оголошення!"
God...,"Тримайся за прапор! Чекай, ні, ні, ні, ні, ні!"
Listen to me closely.,Слухайте всі!
I can figure out what he is trying to say.,"Я можу зрозуміти, що він намагається сказати."
Unable to match the selected transactions,Не вдалося встановити відповідність позначених операцій
"If you should bear a girl, in the moment of her birth, I will cut her down.","Якщо в тебе буде дівчинка, то як тільки вона народиться, я її вб'ю."
I'm going for a cigarette.,Я на перекур.
- Bunnies don't do that.,Ніколи не було кроля-копа. Ні. Кролі такого не роблять.
"Elliot, I'm sorry.","Еліот, пробач мені."
Wishful thinking.,Я б теж так хотіла думати.
Celeste told me everything.,Светка мені все розказала.
"- Yeah, sure.",﻿Так. звичайно.
New interface design and usability improvements,Новий дизайн інтерфейсу і покращення у користуванні
She keeps on making the same mistakes.,Вона продовжує робити ті самі помилки.
"And if you turn on us, they'll cheer to see your head mounted on a spike.","І якщо захопитися цим, то вони потім так само вітатимуть твою голову на списі."
"But we can change it, right?","Але ми ж можемо все змінити, правда?"
"... that you can create your own templates? Create a document containing the text you usually start with and save it; then, select ""Create Template from Document"" from the ""File"" menu, fill in the dialog and you are done: next time you create a new document you can select the template from the template list.","... що ви можете створити ваші власні шаблони? Створіть документ, що містить текст, з якого ви зазвичай починаєте і збережіть його; виберіть « Створити шаблон з документа » з меню « Файл », заповніть поля діалогового вікна і все: наступного разу, коли створюєте новий документ, виберіть шаблон зі списку шаблонів."
It's all I've done since I left home.,"Це єдине, що я робив, відколи покинув дім."
I know you.,Я тебе знаю.
"Max connect retries (%1) reached, stopping.","Перевищено максимальну кількість повторних спроб (% 1), відмова від подальших спроб."
"Aye, aye, Captain.","Єсть, капітане."
Invalid mechanism.,Недійсний механізм.
Break it in.,Освоїтись
I'll make you happy.,Я зроблю тебе щасливою.
- I'm sorry.,- Прости меня.
"Hey, Mo.","Привіт, Мо."
Inactive Inner Window,На площині неактивного вікна
"You're angry with us, or what ?","Образився, чи що?"
Dialog: configure user defined help entries,Діалогове вікно: налаштування визначених користувачем пунктів меню довідки
It taught itself.,Вона сама навчається.
Show graphic files,Показувати графічні файли
Generic Affinity,Загальне афінне перетворення
He's a good tracker and had a high IQ.,Він хороший слідопит і мав високий рівень інтелекту.
You may have fooled some of these people into thinking you're some kind of leader.,"Ти, можливо, й здатен обдурити декого з цих людей буцім-то ти, свого роду лідер."
So what's in it?,Что там?
"♪ Singing hushabye ♪ Come on, Let's go.","♪ Співаючи колискову ♪ Давай, ходімо."
Applies your filters to the selected messages.,Застосовує ваші фільтри до обраних повідомлень.
Do you understand the difference?,Відчуваєш різницю?
Don't torture yourself.,Він як грім серед ночі.
- Around 2.3 kilometers.,- Десь 2-3 кілометри.
Animations,Анімація
I'm sponging off you. I spend your money.,Я висмоктую із тебе соки і тринькаю твої гроші.
What's he doing?,Що він робить?
They need more time.,Їм треба більше часу.
KDE Smartcard Control Module,Модуль керування смарт- картами для KDE
"Code cleaning, parser for the molecule weight calculator, and a lot of smaller improvements","Чистка коду, молекулярний аналізатор і багато невеличких вдосконалень"
Does that make sense?,Хіба не безглуздо?
I've got Cody in the car so let's go.,Я залишив малого в машині.
He wants the precious.,"Він хоче його, золотце."
Bad event handler: Object %1 Identifier %2 Method %3 Type: %4.,Неправильний обробник події: Об’ єкт% 1 Ідентифікатор% 2 Метод% 3 Тип:% 4.
But if the situation were different... ... ifI hadto stay and there were only visa for one... ... wouldyoutakeit?,"Вікторе, а якби все було навпаки. якби я мала залишитись, і була лише одна віза ти б поїхав?"
My father said it would be fire.,"А мій батько казав, що це буде вогонь."
The answer is we don't know.,Відповідь - ми не знаємо.
Groups for this article:,Групи для цієї статті:
You need to force it to assume a shape you find truly amusing.,"Примусьте його перетворитися так, щоб Ви самі реготали з нього."
Do we move against Jaime or Lord Tywin?,"Нам виступати проти Джейме, чи лорда Тайвіна?"
You think your father's kid feeds himself?,"Ти, мабуть, вважаєш що син твого батька сам себе годує?"
"This displays a list of the files in the Main Folder. You can choose the desired files for inclusion, by checking, or exclusion, by unchecking, in your project.",Тут буде показано список файлів у основній теці. Ви можете наказати програмі включити бажані файли позначенням відповідних пунктів або виключити файли зняттям позначки з пунктів.
-I don't want any.,- Мені не треба.
Split Horizontal,Горизонтальний розділювач
Attributes,Атрибути
The Sentinels will find us.,Вартові нас знайдуть.
& Reject,& Відмовитись
He had a gun.,У нього була зброя.
"So, now, uh, do I get a share of the ransom?","І що, я отримаю свою частку викупу?"
"Hi there, Soph, how are you?","В дуже цікавому місці, на самому верху будинку..."
This isn't so bad.,Не так і погано.
"Ladies and gentlemen, what an extraordinary moment this is.","Леді і джентльмени, це надзвичайний момент."
Icanfeelit.,Я відчуваю.
Romek!,Ромку!
"What's the Magic Road, Ted?","Що то за Чарівна Дорога, Теде?"
The requested folder could not be created because a folder with the same name already exists.,"Запитану теку не може бути створено, оскільки вже існує тека з такою назвою."
And you didn't want to continue?,І ви не хотіли б продовжити?
This is just a picture of your pants.,Це просто малюнок твоїх штанів.
I'm saying the Baron can count as well as we.,"Я кажу, що Барон добре вміє лічити."
Straight legs nοw.,Тепер прямі ноги.
And now you are a dead girl.,І тепер ти мертва дівчинка.
I can't do that.,Я цього не зроблю.
What have you done?,Що ти накоїв?
"Gwenview has a few features which are available in both Browse, View, and Full Screen view. Gwenview has the capability to do basic alteration of your images.","У Gwenview є декілька можливостей, які доступні у режимах навігації, перегляду і повноекранному режимі. Gwenview може виконувати базові операції зміни ваших зображень."
"Yeah, maybe don't tell that one.",Тоді краще більше цього не повторюй.
"Come on, man.",— Ну перестань.
Elm Street. 234 Elm.,Мені треба додому. - А де твій дім?
One second.,Секундочку...
Unlock and Quit,Розблокувати і вийти
"No, there's a reason you're still here.","Ні, є причина, чому ти досі тут."
Send CC: to'address',Надіслати копію за вказаною адресою
"Here's the infamous Bridge of Sighs. "" It involves prisoners.",Міст Зітхань користується поганою славою. Не бійся!
- I know.,- Я знаю....
This is Berk.,Це острів Туп.
I'm blind.,"Боюся, що ні."
The awkward moment when your neighbour sees you break his fence.,"Цей незграбний момент, коли ваш сусід бачить, що ви зламали його паркан."
Come on! Come!,Ходімо!
"If this is selected, & kuickshow; increases the magnification of small images up to the selected factor.","Якщо позначено, & kuickshow; збільшуватиме малі зображення за вказаним коефіцієнтом масштабу."
-Hello?,-Ульо?
"No, after.","Ні, після!"
Wild animals live in the forest.,Дикі тварини жувуть в лісах.
"When these men toss this basketball back and forth, they're transferring the momentum of the ball from one to the other, which pushes them apart -- a complex exchange of invisible forces talking to each other.","Коли ці чоловіки кидають баскетбольний м'яч, вони передають кінетичну енергію м'яча один одному, і це їх відштовхує - складний обмін невидимими силами, які спілкуються між собою."
"Wow, you look nice.","ого, ти гарно виглядаєш."
We surrender!,Ми здаємося!
The second method is to manually construct a filter from scratch by calling the filter dialog through Settings Configure Filters.... The filter dialog is described in detail in the following subsection.,"Інший метод полягає у створенні фільтра вручну з нуля за допомогою діалогового вікна, яке можна викликати скориставшись пунктом меню Параметри Налаштувати фільтри.... Докладний опис діалогового вікна фільтрів можна знайти у наступному підрозділі."
But I need to know that this question will not leave this office.,"Але я маю бути впевненим, що питання не вийде за межі цього офісу."
I'm sorry.,Пробач.
Why do we share language?,Чому у нас одна мова?
"And I thought I could go up that way in the morning, and here it is.","Я подумав, що вранці занесу його вам, і ось приніс."
He'll do right by you.,У тебе з ним все складеться.
Shite!,Лайно!
Happy Halloween.,З Хелловіном.
I have changed.,Я змінився.
Stay close.,Держись рядом.
Credits and License,Подяка та ліцензії
That's it.,Ось і все.
Good-bye.,До побачення.
"- Be careful, go.",- Да.
Tune in tomorrow to find out.,"Аби з'ясувати, дивіться нас завтра."
- That child.,- Да мальчуган.
Days:,Дні:
- So what?,- Ну той що?
He saw he was wrong.,"Він побачив, що він неправий."
I really appreciate this.,я дійсно ціную це.
"Well, we hope to see you on Sunday.","Що ж, ми сподіваємося побачити вас у неділю."
aptitude failed to find a solution to these dependencies. You can solve them yourself by hand or type 'n' to quit.,"Пошук вирішення даних залежностей завершився невдачею. Ви можете спробувати розв'язати їх самостійно або вийти, натиснувши 'n'."
I keep thinking how much I'm going to miss the cricket in Moscow.,"Все думаю, як сильно сумуватиму за крикетом у Москві."
"Normal & imap; mode does not support filtering, but the new disconnected & imap; account type does. You could try to use server-side filtering (ask your admin for how to install filters on the server and in which format), since & imap; is all about managing your email on the server. Unfortunately, although there exists a mail filter language (Sieve, defined in RFC3028), there is no standardized access protocol for installing or editing server-side Sieve scripts. If such a protocol becomes available in the future, & kmail; will most probably include support for it.","У звичайному режимі & imap; фільтрування не підтримується, але таке фільтрування підтримується у новому типі облікових записів, від’ єднаному & imap;. Ви можете спробувати скористатися фільтруванням на боці сервера (запитайте у вашого адміністратора про те, як встановити фільтри на сервері, і у якому форматі слід встановлювати ці фільтри), оскільки у & imap; всі операції з керування вашою електронною поштою відбуваються на сервері. На жаль, хоча існує мова фільтрування пошти (Sieve, її опис подано у RFC3028), не існує стандартизованого протоколу доступу для встановлення або редагування скриптів Sieve на сервері. Якщо такий протокол з’ явиться у майбутньому, ймовірно, у & kmail; буде додано підтримку такого протоколу."
The van der Waals radius of an atom is the radius of an imaginary hard sphere which can be used to model the atom for many purposes. Van der Waals radii are determined from measurements of atomic spacing between pairs of unbonded atoms in crystals.,"Радіус Ван- дер- Ваальса атома це радіус уявної твердої сфери, як моделі атома для різних цілей. Радіуси Ван- дер- Ваальса визначаються вимірюванням відстаней між парами незв' язаних атомів у кристалах."
See what I mean?,Розумієш про що я?
- Thanks.,- Спасибі.
Thank you.,Дякую.
No reminders,Немає нагадувань
But we have a look the whole picture.,Але ми маємо дивитись на всю картину в цілому.
For one hour.,за одну годину.
"Oh, yeah?",справді?
Brush your teeth.,Зуби чистять.
He is a smart boy.,Він розумний хлопець.
"But what I hope most of all is that you understand what I mean when I tell you that even though I do not know you and even though I may never meet you laugh with you, cry with you or kiss you I love you.","Але найбільш за все я сподіваюся, що ти мене зрозумієш, коли я скажу, хоча я тебе не знаю і напевне ніколи тебе не зустріну, з тобою не сміятимуся, плакатиму чи не зможу поцілувати, що я тебе люблю."
They're coming.,Вони йдуть.
Annotation Dialog,Діалогове вікно приміток
"Two bob and tuppence, please.","2 фунта і 2 пенні, будь ласка."
He'll find his way home.,Він знайде дорогу додому.
So how about I take you out to dinner?,Тож ти не проти якщо ми повечеряємо у ресторані?
I mean no harm.,Я не хочу заподіяти ніякої шкоди.
Delirium tremens.,Занадто пізно.
"What were you gonna do, be a hero?","А що б ти міг зробити, стати героєм?"
You should help me now.,"Може, ти мені допоможеш?"
Almost as sharp as me!,"Майже така розумна, як я!"
And the rest-The rest are just pro forma papers for you to sign.,"А решта, для проформи, щоб Ви підписали."
Sometimes I don't think you want me to go to university.,"Іноді мені здається, що ти не хочеш, щоб я вступала до університету."
Tauriel !,Тауріель!
Exercise Percentage,Вправа « Відсотки »
"We're trapped down here, we're trapped out there.","Ми в пастці тут, ми в пастці там."
"Hard, soft, hard.","Твердо, м'яко, твердо."
It won't happen again.,Це більше не повториться.
It is the only solution.,Це єдиний вихід.
This is the part which Nostradamus want that we recognize is to emphasize and understand.,Це ще одне посилання Нострадамуса на шикування галактики.
"Aside from the Starks and the Boltons, the most powerful houses in the North are the Umbers, the Karstarks, and the Manderlys.","Окрім Старків і Болтонів, найпотужніші роди Півночі – це Амбери, Карстарки та Мандерлі."
Come on.,Давай.
"The prefix must be a valid %1, which %2 is not.","Префікс має бути коректним% 1, а% 2 не є ним."
It's so bright.,Вони такі яскраві!
They proved themselves.,"Вони показали, чого варті."
"Forgive my paranoia, but I don't know you.","Пробач мою параною, але я тебе не знаю."
"6096, Kodiak Ops, copy.",Від борту 6096 на ОЦ Код'як прийнято.
& kmail; cannot encrypt and sign attachments if you are using the built-in OpenPGP support. For encrypted and signed attachments you need to have crypto plugins installed and configured.,"& kmail; не зможе шифрувати або підписувати долучення до повідомлень, якщо ви використовуєте вбудовану підтримку OpenPGP. Для шифрування або підписування долучень вам слід встановити і налаштувати криптографічні додатки."
